wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2861099;3326;1336722;1773;t02
kujawsko-pomorskie;1918302;2274;891805;1078;t04
lubelskie;1635377;2869;763150;1227;t06
lubuskie;972141;1652;453986;807;t08
³ódzkie;2338270;3274;1099150;1634;t10
ma³opolskie;3024771;3959;1411697;2022;t12
mazowieckie;5553880;7601;2604968;4149;t14
opolskie;842869;1164;397428;553;t16
podkarpackie;1521024;3134;711301;1456;t18
podlaskie;1014452;1390;477513;568;t20
pomorskie;2334373;3649;1098715;1810;t22
œl¹skie;4259173;5438;1993024;3031;t24
œwiêtokrzyskie;1018845;1794;473083;1061;t26
warmiñsko-mazurskie;1210497;1873;565846;997;t28
wielkopolskie;3383513;5118;1597741;2860;t30
zachodniopomorskie;1640364;2549;762298;1233;t32
ca³y kraj;35528975;51064;16638427;26259;t00
