wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2903048;4393;1357773;2334;t02
kujawsko-pomorskie;1950432;3346;908238;1849;t04
lubelskie;1664433;3534;777211;1884;t06
lubuskie;989821;1655;461594;838;t08
³ódzkie;2378156;4773;1119569;2598;t10
ma³opolskie;3076040;6579;1438794;3631;t12
mazowieckie;5645497;9654;2651054;5046;t14
opolskie;854507;1167;403259;561;t16
podkarpackie;1549683;3354;724606;1649;t18
podlaskie;1031572;2327;485377;1187;t20
pomorskie;2373366;4303;1116770;2179;t22
œl¹skie;4324395;6838;2023645;3491;t24
œwiêtokrzyskie;1038293;2334;482960;1335;t26
warmiñsko-mazurskie;1235331;2845;577186;1433;t28
wielkopolskie;3444278;6899;1628957;3826;t30
zachodniopomorskie;1668231;3009;775961;1619;t32
ca³y kraj;36127090;67017;16932955;35461;t00
