wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;11;0;1;0;t0;5;0;0;0;5;0
dolnoœl¹skie;4302224;1844;1551967;404;t02;1795839;188;16702;17;937716;1235
kujawsko-pomorskie;2913624;946;1049293;243;t04;1217850;105;11933;4;634548;594
lubelskie;2477183;717;913079;183;t06;1053043;79;13357;8;497704;447
lubuskie;1499521;615;537179;137;t08;643952;68;5336;6;313054;404
³ódzkie;3508226;1159;1287081;294;t10;1463686;115;18513;2;738946;748
ma³opolskie;4487163;1784;1655421;297;t12;1895780;131;13968;20;921994;1336
mazowieckie;8529680;3283;3093732;707;t14;3547600;347;40041;38;1848307;2191
opolskie;1255116;545;462779;145;t16;528808;65;4978;0;258551;335
podkarpackie;2205015;734;832027;209;t18;967980;78;8311;2;396697;445
podlaskie;1507059;424;563163;63;t20;649703;58;6023;13;288170;290
pomorskie;3568059;1410;1294460;271;t22;1488708;180;14705;4;770186;955
œl¹skie;6343998;2159;2301040;469;t24;2652325;182;20315;7;1370318;1501
œwiêtokrzyskie;1527286;484;559602;117;t26;649076;45;6307;3;312301;319
warmiñsko-mazurskie;1872573;791;681395;209;t28;784797;72;10425;3;395956;507
wielkopolskie;5210364;2055;1912184;537;t30;2165984;169;19984;6;1112212;1343
zachodniopomorskie;2503906;863;895242;203;t32;1057469;74;10505;1;540690;585
ca³y kraj;53711008;19813;19589645;4488;t00;22562605;1956;221403;134;11337355;13235
