wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2857503;2612;1334828;1288;t02
kujawsko-pomorskie;1915712;1776;890632;874;t04
lubelskie;1632304;1891;761820;889;t06
lubuskie;970411;1036;453161;399;t08
³ódzkie;2334854;2197;1097467;1099;t10
ma³opolskie;3020693;4047;1409625;2391;t12
mazowieckie;5545595;6203;2600500;3212;t14
opolskie;841631;628;396835;198;t16
podkarpackie;1517784;2259;709808;1115;t18
podlaskie;1012680;1302;476817;625;t20
pomorskie;2330536;2532;1096810;1294;t22
œl¹skie;4253499;4338;1989932;2489;t24
œwiêtokrzyskie;1017020;1182;472026;606;t26
warmiñsko-mazurskie;1208518;1414;564843;674;t28
wielkopolskie;3378015;3888;1594661;2358;t30
zachodniopomorskie;1637709;2201;761015;1065;t32
ca³y kraj;35474489;39506;16610780;20576;t00
