data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2181;0
2020-12-28;4277;0
2020-12-29;10064;1
2020-12-30;20189;0
2020-12-31;10018;1
2021-01-01;815;0
2021-01-02;1725;0
2021-01-03;383;1
2021-01-04;39712;1
2021-01-05;53704;0
2021-01-06;17588;1
2021-01-07;29565;2
2021-01-08;11080;0
2021-01-09;1574;0
2021-01-10;773;0
2021-01-11;47247;228
2021-01-12;62815;3
2021-01-13;54492;1
2021-01-14;45970;1
2021-01-15;25705;1
2021-01-16;20400;16
2021-01-17;11580;425
2021-01-18;27466;2898
2021-01-19;48318;8024
2021-01-20;49626;14220
2021-01-21;52259;14779
2021-01-22;37077;5226
2021-01-23;16031;1356
2021-01-24;4840;536
