wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2451641;2121;1057642;991;t02
kujawsko-pomorskie;1586274;2430;659882;1595;t04
lubelskie;1406881;1117;619113;744;t06
lubuskie;830050;1382;365613;954;t08
³ódzkie;1987386;3617;860731;2492;t10
ma³opolskie;2499085;4910;1045046;2961;t12
mazowieckie;4691898;10624;1999522;8022;t14
opolskie;744192;837;335040;558;t16
podkarpackie;1339282;878;611302;351;t18
podlaskie;899454;867;410781;537;t20
pomorskie;1981194;2191;863173;1134;t22
œl¹skie;3633357;7875;1559880;5462;t24
œwiêtokrzyskie;846408;1517;359814;873;t26
warmiñsko-mazurskie;996856;1805;423375;1461;t28
wielkopolskie;2738211;4722;1137450;3542;t30
zachodniopomorskie;1391980;1245;601261;904;t32
ca³y kraj;30024149;48138;12909625;32581;t00
