wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;63;0;25;0;t0;31;0;0;0;7;0
dolnoœl¹skie;4020886;14461;1497296;1576;t02;1761050;1840;15222;70;747318;10975
kujawsko-pomorskie;2718170;9373;1008885;1213;t04;1193425;1309;11271;62;504589;6789
lubelskie;2338002;8764;885868;952;t06;1035377;1024;12648;86;404109;6702
lubuskie;1404698;4770;517321;703;t08;630918;674;4950;5;251509;3388
³ódzkie;3292684;12490;1243073;1484;t10;1436887;1593;17156;100;595568;9313
ma³opolskie;4198989;14798;1599427;1794;t12;1862941;1685;12436;80;724185;11239
mazowieckie;7994271;28805;2984627;3831;t14;3479423;3290;37094;355;1493127;21329
opolskie;1179883;3881;446526;392;t16;518974;460;4333;20;210050;3009
podkarpackie;2098930;7051;809434;754;t18;953128;886;7470;47;328898;5364
podlaskie;1431594;5020;547596;564;t20;638400;578;5345;38;240253;3840
pomorskie;3323691;11946;1242701;1548;t22;1456273;1619;13619;37;611098;8742
œl¹skie;5949425;20968;2224574;2290;t24;2603100;2379;18509;85;1103242;16214
œwiêtokrzyskie;1430924;5780;540987;617;t26;636573;700;5691;114;247673;4349
warmiñsko-mazurskie;1736257;7014;653981;785;t28;765723;942;9490;13;307063;5274
wielkopolskie;4829328;17544;1833398;2163;t30;2118451;2277;18546;25;858933;13079
zachodniopomorskie;2350742;7692;864945;909;t32;1037360;1039;10091;94;438346;5650
ca³y kraj;50298537;180357;18900664;21575;t00;22128034;22295;203871;1231;9065968;135256
