wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;28;0;7;0;t0;14;0;0;0;7;0
dolnoœl¹skie;4004967;15867;1495434;2313;t02;1758942;1854;15143;81;735448;11619
kujawsko-pomorskie;2708317;9882;1007566;1299;t04;1192023;1248;11209;10;497519;7325
lubelskie;2328984;9725;884872;1104;t06;1034288;1165;12558;32;397266;7424
lubuskie;1399785;5005;516592;784;t08;630161;714;4947;17;248085;3490
³ódzkie;3279632;13802;1241471;1674;t10;1435168;1769;17066;106;585927;10253
ma³opolskie;4183934;15489;1597556;1956;t12;1861163;1813;12357;64;712858;11656
mazowieckie;7963521;30686;2980329;4521;t14;3475492;3327;36788;285;1470912;22553
opolskie;1175818;4597;446099;663;t16;518480;676;4311;140;206928;3118
podkarpackie;2091614;7093;808626;867;t18;952194;930;7423;28;323371;5268
podlaskie;1426159;4940;546992;746;t20;637675;659;5300;14;236192;3521
pomorskie;3311232;13179;1241053;1811;t22;1454522;1674;13561;55;602096;9639
œl¹skie;5927688;22128;2222162;2633;t24;2600582;2376;18399;62;1086545;17057
œwiêtokrzyskie;1425011;6189;540348;703;t26;635803;845;5578;39;243282;4602
warmiñsko-mazurskie;1728398;7606;653050;1000;t28;764515;1039;9429;31;301404;5536
wielkopolskie;4810273;20491;1830999;2883;t30;2115749;2663;18564;121;844961;14824
zachodniopomorskie;2342470;8982;863914;1063;t32;1036209;1028;9995;43;432352;6848
ca³y kraj;50107831;195661;18877070;26020;t00;22102980;23780;202628;1128;8925153;144733
