wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;64;0;25;0;t0
dolnoœl¹skie;3247656;5581;1427945;452;t02
kujawsko-pomorskie;2180245;4795;960028;353;t04
lubelskie;1909243;2375;832265;288;t06
lubuskie;1123829;3252;488725;214;t08
³ódzkie;2661548;4484;1183625;379;t10
ma³opolskie;3421221;7752;1521987;718;t12
mazowieckie;6386109;13964;2819163;1257;t14
opolskie;947705;1432;422861;142;t16
podkarpackie;1742191;3621;768470;254;t18
podlaskie;1170203;1945;515434;210;t20
pomorskie;2674390;6755;1181789;509;t22
œl¹skie;4798000;10344;2127931;737;t24
œwiêtokrzyskie;1164004;1755;515129;120;t26
warmiñsko-mazurskie;1398449;1570;616736;191;t28
wielkopolskie;3864177;7590;1730942;684;t30
zachodniopomorskie;1882876;3510;821836;294;t32
ca³y kraj;40571910;80725;17934891;6802;t00
