wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;12;0;3;0;t0;3;0;0;0;6;0
dolnoœl¹skie;4330874;884;1557017;86;t02;1798759;63;16915;2;958183;733
kujawsko-pomorskie;2929067;361;1052420;65;t04;1219513;36;12035;0;645099;260
lubelskie;2487737;202;915452;40;t06;1054419;25;13480;1;504386;136
lubuskie;1508112;154;538888;19;t08;644977;12;5381;0;318866;123
³ódzkie;3526789;354;1290807;38;t10;1465561;30;18766;18;751655;268
ma³opolskie;4520104;1046;1660505;111;t12;1899029;78;14122;11;946448;846
mazowieckie;8588069;1680;3104150;252;t14;3555261;194;40638;19;1888020;1215
opolskie;1262200;115;464296;17;t16;529742;7;5024;0;263138;91
podkarpackie;2214034;163;833981;30;t18;969164;14;8408;1;402481;118
podlaskie;1513600;147;564560;26;t20;650702;19;6091;1;292247;101
pomorskie;3592495;665;1298996;66;t22;1491422;58;14891;4;787186;537
œl¹skie;6385585;935;2308137;104;t24;2656285;73;20638;3;1400525;755
œwiêtokrzyskie;1534083;144;561066;33;t26;649888;10;6249;0;316880;101
warmiñsko-mazurskie;1882728;184;683583;26;t28;785854;19;10507;2;402784;137
wielkopolskie;5261673;650;1918633;80;t30;2187469;36;20322;9;1135249;525
zachodniopomorskie;2518235;414;897975;52;t32;1059109;30;10608;3;550543;329
ca³y kraj;54055397;8098;19650469;1045;t00;22617157;704;224075;74;11563696;6275
