wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;9;0;2;0;t0
dolnoœl¹skie;3229242;9573;1426164;879;t02
kujawsko-pomorskie;2168675;5866;958946;420;t04
lubelskie;1898446;7449;830518;1234;t06
lubuskie;1116161;3303;488093;316;t08
³ódzkie;2645617;7413;1182096;760;t10
ma³opolskie;3400806;9361;1519923;872;t12
mazowieckie;6347662;19723;2815344;1878;t14
opolskie;943094;3168;422388;354;t16
podkarpackie;1732201;5449;767538;537;t18
podlaskie;1163291;3865;514499;491;t20
pomorskie;2658052;7713;1180363;698;t22
œl¹skie;4768744;15244;2125482;1248;t24
œwiêtokrzyskie;1158136;3607;514572;388;t26
warmiñsko-mazurskie;1391499;4190;615942;563;t28
wielkopolskie;3841518;10457;1728663;1311;t30
zachodniopomorskie;1871003;5684;820667;534;t32
ca³y kraj;40334156;122065;17911200;12483;t00
