wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;269;6;114;0;t0;135;5;0;0;20;1
dolnoœl¹skie;4124356;8721;1508610;1109;t02;1775135;1179;15576;39;825035;6394
kujawsko-pomorskie;2790726;8081;1017774;1176;t04;1203986;961;11629;27;557337;5917
lubelskie;2389501;2623;891304;461;t06;1042299;317;12822;3;443076;1842
lubuskie;1438847;3255;521605;480;t08;636507;517;5049;2;275686;2256
³ódzkie;3374039;7235;1251855;878;t10;1447536;858;17658;20;656990;5479
ma³opolskie;4300759;10636;1611836;2027;t12;1877047;1331;12859;97;799017;7181
mazowieckie;8195065;18844;3010146;3161;t14;3505966;2349;38374;104;1640579;13230
opolskie;1206914;2240;449916;478;t16;522912;327;4554;4;229532;1431
podkarpackie;2136476;2501;814273;546;t18;959237;373;7703;3;355263;1579
podlaskie;1457862;1454;550571;207;t20;642712;190;5512;3;259067;1054
pomorskie;3412221;9817;1254080;2529;t22;1469839;1438;13964;32;674338;5818
œl¹skie;6093719;13503;2240565;2169;t24;2624120;1734;19028;105;1210006;9495
œwiêtokrzyskie;1466181;2836;544577;399;t26;641712;335;5916;1;273976;2101
warmiñsko-mazurskie;1781598;2842;658868;413;t28;772684;286;9739;5;340307;2138
wielkopolskie;4966548;13225;1850809;2851;t30;2138386;1650;19167;27;958186;8697
zachodniopomorskie;2405898;4391;871423;722;t32;1045487;568;10218;0;478770;3101
ca³y kraj;51540979;112210;19048326;19606;t00;22305700;14418;209768;472;9977185;77714
