wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;1447;56;400;18;
dolnośląskie;280798;7301;101430;3746;t02
kujawsko-pomorskie;160501;3827;59052;1744;t04
lubelskie;188927;6468;67172;3192;t06
lubuskie;81306;2079;29148;746;t08
łódzkie;225000;6461;83339;2908;t10
małopolskie;271620;8993;95916;4263;t12
mazowieckie;513302;15430;185460;6551;t14
opolskie;85760;2331;30683;790;t16
podkarpackie;161051;6504;57138;3455;t18
podlaskie;107802;3817;36940;1461;t20
pomorskie;211384;5747;77650;2586;t22
śląskie;353516;10025;127175;4052;t24
świętokrzyskie;93157;3369;33295;1665;t26
warmińsko-mazurskie;113684;3663;37595;1182;t28
wielkopolskie;277049;9306;96337;4113;t30
zachodniopomorskie;143508;4309;49328;1793;t32
cały kraj;3269812;99686;1168058;44265;t00
