wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2448515;12685;1056440;9383;t02
kujawsko-pomorskie;1583154;10412;657823;6867;t04
lubelskie;1405562;3102;618228;2139;t06
lubuskie;828520;5403;364549;4053;t08
³ódzkie;1983166;10154;857738;7095;t10
ma³opolskie;2493971;19594;1042008;12978;t12
mazowieckie;4679576;31789;1990472;23601;t14
opolskie;743126;3389;334358;2198;t16
podkarpackie;1338083;4646;610786;3161;t18
podlaskie;898028;1879;410050;1419;t20
pomorskie;1978535;9928;861804;6370;t22
œl¹skie;3624632;20293;1553949;14265;t24
œwiêtokrzyskie;844669;4341;358757;2861;t26
warmiñsko-mazurskie;994738;4376;421765;2886;t28
wielkopolskie;2731213;16225;1132107;11291;t30
zachodniopomorskie;1390353;7240;600139;4899;t32
ca³y kraj;29965841;165456;12870973;115466;t00
