wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2319595;16010;961952;11349;t02
kujawsko-pomorskie;1489553;12401;590371;7820;t04
lubelskie;1340706;4567;570923;3038;t06
lubuskie;783858;7079;331169;5248;t08
³ódzkie;1876247;10559;779518;7109;t10
ma³opolskie;2349606;20317;938274;12870;t12
mazowieckie;4400716;37972;1783363;26972;t14
opolskie;713062;3915;312247;3070;t16
podkarpackie;1290461;4880;577417;3937;t18
podlaskie;863219;2633;385109;1921;t20
pomorskie;1880584;11249;794501;6148;t22
œl¹skie;3430555;22724;1410599;15831;t24
œwiêtokrzyskie;801406;5566;328550;3691;t26
warmiñsko-mazurskie;940978;5670;384844;3712;t28
wielkopolskie;2554954;19927;1008190;11105;t30
zachodniopomorskie;1319210;7418;548027;5051;t32
ca³y kraj;28354710;192887;11705054;128872;t00
