wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;24;0;7;0;t0;11;0;0;0;6;0
dolnoœl¹skie;3885258;16811;1481400;3316;t02;1744169;1972;14722;35;644967;11488
kujawsko-pomorskie;2627976;12685;999103;2206;t04;1181603;1519;10624;110;436646;8850
lubelskie;2266353;9988;878586;1461;t06;1026494;1129;12231;57;349042;7341
lubuskie;1361696;6015;511532;1111;t08;624563;1003;4841;18;220760;3883
³ódzkie;3183198;13454;1230931;2379;t10;1422706;1520;16511;67;513050;9488
ma³opolskie;4064369;16783;1584808;3072;t12;1846880;1917;11781;83;620900;11711
mazowieckie;7726952;33251;2947769;6368;t14;3445466;3716;35802;160;1297915;23007
opolskie;1141674;5829;442363;994;t16;514043;697;3682;28;181586;4110
podkarpackie;2041411;7686;802707;1320;t18;944803;1047;7125;16;286776;5303
podlaskie;1390756;5271;542602;848;t20;632726;576;5156;38;210272;3809
pomorskie;3212426;13507;1229063;2606;t22;1440035;2006;13021;115;530307;8780
œl¹skie;5754549;26336;2203998;4346;t24;2580157;3212;17568;101;952826;18677
œwiêtokrzyskie;1383894;5738;536532;807;t26;630389;676;5434;94;211539;4161
warmiñsko-mazurskie;1673784;7820;646786;1306;t28;757107;1086;9309;94;260582;5334
wielkopolskie;4652498;21152;1812141;4112;t30;2094558;2834;18097;80;727702;14126
zachodniopomorskie;2276924;9560;856213;1508;t32;1027872;1242;9707;12;383132;6798
ca³y kraj;48643742;211886;18706541;37760;t00;21913582;26152;195611;1108;7828008;146866
