wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2361968;22559;991664;17172;t02
kujawsko-pomorskie;1521504;18355;614657;14176;t04
lubelskie;1361885;12839;587390;10287;t06
lubuskie;798888;7848;342475;5948;t08
³ódzkie;1909832;18758;804167;14480;t10
ma³opolskie;2394709;24008;971548;18112;t12
mazowieckie;4499743;46352;1858343;34985;t14
opolskie;722637;5213;319586;4040;t16
podkarpackie;1306230;7474;589080;5490;t18
podlaskie;875135;5612;394026;4480;t20
pomorskie;1908596;14954;814341;10723;t22
œl¹skie;3494049;36636;1458018;28645;t24
œwiêtokrzyskie;814982;7910;338707;5981;t26
warmiñsko-mazurskie;958848;9756;397945;7283;t28
wielkopolskie;2616337;27866;1052449;20485;t30
zachodniopomorskie;1343410;11336;566105;8392;t32
ca³y kraj;28888753;277476;12100501;210679;t00
