wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5775;1;1110;0;
dolnośląskie;501014;3222;168708;460;t02
kujawsko-pomorskie;292072;791;97733;42;t04
lubelskie;336916;1180;116686;409;t06
lubuskie;146843;970;48342;1;t08
łódzkie;389956;1668;137866;111;t10
małopolskie;481588;740;162093;91;t12
mazowieckie;917747;6636;310900;1367;t14
opolskie;148876;1209;50580;120;t16
podkarpackie;309132;3971;104242;829;t18
podlaskie;198682;2246;66963;232;t20
pomorskie;389382;1167;133876;485;t22
śląskie;629554;3122;213504;1130;t24
świętokrzyskie;169140;265;57543;57;t26
warmińsko-mazurskie;213164;1134;69184;333;t28
wielkopolskie;502653;1975;167931;675;t30
zachodniopomorskie;250087;1416;85350;149;t32
cały kraj;5882581;31713;1992611;6491;t00
