wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;35740;5024;3133;304;
dolnośląskie;1022570;18755;260332;5170;t02
kujawsko-pomorskie;614649;12445;148234;3784;t04
lubelskie;656299;11109;178138;2631;t06
lubuskie;323272;6830;80444;1693;t08
łódzkie;799225;15471;201602;3878;t10
małopolskie;987737;16205;245564;5210;t12
mazowieckie;1873001;29052;470992;9945;t14
opolskie;304314;4411;77282;1186;t16
podkarpackie;631211;11721;168300;3908;t18
podlaskie;400215;5167;105898;1602;t20
pomorskie;803473;19061;200873;3798;t22
śląskie;1389563;24119;322271;6201;t24
świętokrzyskie;346419;5234;84938;1488;t26
warmińsko-mazurskie;424823;7157;108082;2438;t28
wielkopolskie;1053222;18321;256850;4698;t30
zachodniopomorskie;560128;10243;126887;3251;t32
cały kraj;12225861;220325;3039820;61185;t00
