wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2888416;3404;1349988;1837;t02
kujawsko-pomorskie;1939718;2897;902476;1468;t04
lubelskie;1653580;2648;771598;1286;t06
lubuskie;983909;1581;458707;667;t08
³ódzkie;2364048;3003;1112016;1688;t10
ma³opolskie;3058587;3805;1429321;1900;t12
mazowieckie;5612718;7303;2634686;4037;t14
opolskie;850518;896;401339;450;t16
podkarpackie;1540078;2534;719794;1235;t18
podlaskie;1024782;1337;482185;676;t20
pomorskie;2359742;3235;1110188;1676;t22
œl¹skie;4303441;4874;2012895;2586;t24
œwiêtokrzyskie;1030703;1447;478770;819;t26
warmiñsko-mazurskie;1226202;1993;572594;951;t28
wielkopolskie;3422344;4466;1617145;2503;t30
zachodniopomorskie;1658216;2241;771035;1190;t32
ca³y kraj;35917007;47669;16824737;24969;t00
