wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;5;0;0;0;t0;5;0;0;0;0;0
dolnoœl¹skie;3527560;13994;1443860;566;t02;1688168;1732;17229;153;378303;11543
kujawsko-pomorskie;2382989;10828;970676;585;t04;1141879;1267;11476;11;258958;8965
lubelskie;2078857;6168;850765;423;t06;997923;884;14560;10;215609;4851
lubuskie;1236621;5947;495357;404;t08;602050;1238;5192;11;134022;4294
³ódzkie;2900325;12143;1198252;565;t10;1378858;1547;18492;62;304723;9969
ma³opolskie;3700414;15205;1539616;1260;t12;1786651;2302;12388;44;361759;11599
mazowieckie;6984510;27161;2859818;2243;t14;3314762;3734;40393;218;769537;20966
opolskie;1032087;4469;427967;275;t16;496530;679;3961;91;103629;3424
podkarpackie;1884789;6763;779083;592;t18;917352;1133;8054;4;180300;5034
podlaskie;1275120;3313;524995;377;t20;614216;596;5221;6;130688;2334
pomorskie;2907100;12324;1195806;835;t22;1385401;1725;13772;62;312121;9702
œl¹skie;5235809;21684;2150358;1332;t24;2501093;2587;19488;149;564870;17616
œwiêtokrzyskie;1264149;5148;521639;324;t26;612612;678;6494;6;123404;4140
warmiñsko-mazurskie;1516860;5009;626404;279;t28;729488;682;9962;159;151006;3889
wielkopolskie;4208354;17298;1752588;1137;t30;2011076;2924;20550;94;424140;13143
zachodniopomorskie;2064482;7595;832664;462;t32;993403;1138;10835;12;227580;5983
ca³y kraj;44200031;175049;18169848;11659;t00;21171467;24846;218067;1092;4640649;137452
