wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;17;0;4;0;t0;8;0;0;0;5;0
dolnoœl¹skie;3944315;19118;1488297;1322;t02;1751874;2572;14867;71;689277;15153
kujawsko-pomorskie;2665840;11751;1003305;731;t04;1186919;1830;11125;86;464491;9104
lubelskie;2299061;10197;881752;754;t06;1030891;1349;12431;36;373987;8058
lubuskie;1379775;5669;514211;547;t08;627435;948;4886;21;233243;4153
³ódzkie;3231489;16686;1236136;1261;t10;1429194;2381;16761;38;549398;13006
ma³opolskie;4123203;20767;1590947;1476;t12;1853948;2457;11944;77;666364;16757
mazowieckie;7840636;35987;2963419;2983;t14;3460362;4492;36278;138;1380577;28374
opolskie;1158784;5495;444160;400;t16;516386;831;3957;118;194281;4146
podkarpackie;2068603;8508;805945;695;t18;949077;1446;7341;72;306240;6295
podlaskie;1408940;5249;544798;423;t20;635468;828;5231;33;223443;3965
pomorskie;3259519;15809;1234774;1163;t22;1447008;2305;13289;131;564448;12210
œl¹skie;5839174;28896;2212346;1697;t24;2590633;3833;17936;197;1018259;23169
œwiêtokrzyskie;1404208;6094;538418;375;t26;633164;835;5444;10;227182;4874
warmiñsko-mazurskie;1700557;7888;649959;507;t28;761138;1141;9369;28;280091;6212
wielkopolskie;4729134;25927;1821386;1768;t30;2104794;3498;18254;53;784700;20608
zachodniopomorskie;2309710;10820;859957;826;t32;1032364;1427;9854;34;407535;8533
ca³y kraj;49362965;234861;18789814;16928;t00;22010663;32173;198967;1143;8363521;184617
