data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2199;0
2020-12-28;4329;0
2020-12-29;10142;1
2020-12-30;20514;0
2020-12-31;10670;1
2021-01-01;1351;0
2021-01-02;2289;0
2021-01-03;657;1
2021-01-04;40851;13
2021-01-05;55659;7
2021-01-06;18827;1
2021-01-07;30480;0
2021-01-08;11861;0
2021-01-09;2265;1
2021-01-10;999;0
2021-01-11;47932;230
2021-01-12;63673;3
2021-01-13;55293;1
2021-01-14;46661;2
2021-01-15;26186;1
2021-01-16;21076;19
2021-01-17;12091;431
2021-01-18;28309;2930
2021-01-19;49301;8151
2021-01-20;50706;14375
2021-01-21;53269;14946
2021-01-22;38155;5299
2021-01-23;16727;1364
2021-01-24;5300;562
2021-01-25;72287;29593
2021-01-26;130978;48107
2021-01-27;102742;26348
2021-01-28;87731;29327
2021-01-29;41938;15985
2021-01-30;15007;3112
2021-01-31;7417;1385
2021-02-01;55222;33041
2021-02-02;112055;57069
2021-02-03;118814;55480
2021-02-04;103881;50558
2021-02-05;49944;29214
2021-02-06;23204;15637
2021-02-07;15120;9992
2021-02-08;31632;11655
2021-02-09;86739;20109
2021-02-10;112318;44407
2021-02-11;110967;58196
2021-02-12;74959;42614
2021-02-13;35088;15077
2021-02-14;14159;4500
2021-02-15;35852;11475
2021-02-16;71120;33065
2021-02-17;153647;82887
2021-02-18;172386;91780
2021-02-19;97795;47983
