wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;65;0;12;0;t0
dolnoœl¹skie;1452760;29861;415179;10395;t02
kujawsko-pomorskie;895925;18211;242906;6974;t04
lubelskie;900197;16264;279602;7263;t06
lubuskie;489687;9179;140861;4465;t08
³ódzkie;1173230;24384;332094;10086;t10
ma³opolskie;1424701;28424;407629;12272;t12
mazowieckie;2673852;50469;784848;22410;t14
opolskie;448465;7362;117778;3120;t16
podkarpackie;879112;14615;275341;7708;t18
podlaskie;570716;8610;168847;4642;t20
pomorskie;1174261;22684;325976;11945;t22
œl¹skie;2095868;42668;588854;19204;t24
œwiêtokrzyskie;496458;10548;136353;4046;t26
warmiñsko-mazurskie;592459;9737;171555;3923;t28
wielkopolskie;1529175;29318;430346;11680;t30
zachodniopomorskie;823407;16484;224211;6500;t32
ca³y kraj;17620338;338818;5042392;146633;t00
