wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;6;0;2;0;t00;4;0;0;0;0;0
dolnoœl¹skie;boles³awiecki;87864;438;35239;18;t0201;44128;53;172;0;8325;367
dolnoœl¹skie;dzier¿oniowski;85152;480;34575;59;t0202;39769;40;287;1;10521;380
dolnoœl¹skie;g³ogowski;84168;545;31978;43;t0203;39187;53;163;0;12840;449
dolnoœl¹skie;górowski;31691;78;12786;2;t0204;15634;9;368;10;2903;57
dolnoœl¹skie;jaworski;48681;382;18774;44;t0205;23480;39;32;1;6395;298
dolnoœl¹skie;jeleniogórski;62849;324;24948;21;t0206;30142;51;399;0;7360;252
dolnoœl¹skie;kamiennogórski;39889;374;16037;27;t0207;18425;23;102;0;5325;324
dolnoœl¹skie;k³odzki;158599;922;63905;74;t0208;74177;67;750;1;19767;780
dolnoœl¹skie;legnicki;52681;255;20513;11;t0209;26261;44;283;0;5624;200
dolnoœl¹skie;lubañski;37662;249;13679;20;t0210;19153;24;94;1;4736;204
dolnoœl¹skie;lubiñski;152464;939;62667;47;t0211;69863;90;975;4;18959;798
dolnoœl¹skie;lwówecki;51328;150;20695;42;t0212;24624;16;355;0;5654;92
dolnoœl¹skie;milicki;41439;244;17240;26;t0213;19610;42;93;1;4496;175
dolnoœl¹skie;oleœnicki;127180;644;49557;67;t0214;60972;93;764;1;15887;483
dolnoœl¹skie;o³awski;51661;277;22073;15;t0215;25094;12;97;1;4397;249
dolnoœl¹skie;polkowicki;50814;257;19373;30;t0216;25408;45;40;0;5993;182
dolnoœl¹skie;strzeliñski;44785;197;18471;5;t0217;21199;28;571;0;4544;164
dolnoœl¹skie;œredzki;29228;273;11284;15;t0218;13190;35;684;21;4070;202
dolnoœl¹skie;œwidnicki;129380;948;50645;84;t0219;60491;85;889;1;17355;778
dolnoœl¹skie;trzebnicki;71848;365;30548;22;t0220;32973;37;384;3;7943;303
dolnoœl¹skie;wa³brzyski;38370;154;16011;4;t0221;17487;8;262;0;4610;142
dolnoœl¹skie;wo³owski;51913;456;20111;41;t0222;25773;53;435;1;5594;361
dolnoœl¹skie;wroc³awski;126440;799;51801;29;t0223;58117;61;1110;2;15412;707
dolnoœl¹skie;z¹bkowicki;69018;397;27508;10;t0224;32543;32;450;84;8517;271
dolnoœl¹skie;zgorzelecki;73868;554;28891;46;t0225;36231;66;292;0;8454;442
dolnoœl¹skie;z³otoryjski;43723;427;16730;51;t0226;20826;34;220;0;5947;342
dolnoœl¹skie;Jelenia Góra;112959;570;45934;24;t0261;50886;61;453;0;15686;485
dolnoœl¹skie;Legnica;111502;715;45186;56;t0262;52459;78;431;0;13426;581
dolnoœl¹skie;Wroc³aw;1268989;5223;517951;300;t0264;597384;375;4793;25;148861;4523
dolnoœl¹skie;Wa³brzych;244878;858;102333;37;t0265;118613;72;809;2;23123;747
kujawsko-pomorskie;aleksandrowski;146724;470;64755;32;t0401;71427;44;502;0;10040;394
kujawsko-pomorskie;brodnicki;88549;630;36437;61;t0402;41923;53;662;43;9527;473
kujawsko-pomorskie;bydgoski;92993;533;38760;48;t0403;43315;41;402;0;10516;444
kujawsko-pomorskie;che³miñski;52193;287;20998;18;t0404;23942;9;40;0;7213;260
kujawsko-pomorskie;golubsko-dobrzyñski;41334;140;17696;6;t0405;20418;4;380;0;2840;130
kujawsko-pomorskie;grudzi¹dzki;31374;247;12833;26;t0406;15655;30;129;1;2757;190
kujawsko-pomorskie;inowroc³awski;125943;635;52307;45;t0407;58439;39;577;1;14620;550
kujawsko-pomorskie;lipnowski;64157;266;26374;8;t0408;31331;27;326;18;6126;213
kujawsko-pomorskie;mogileñski;42750;223;17028;34;t0409;20025;33;324;2;5373;154
kujawsko-pomorskie;nakielski;104582;433;40526;43;t0410;52253;65;482;1;11321;324
kujawsko-pomorskie;radziejowski;51276;245;21954;33;t0411;24814;19;621;0;3887;193
kujawsko-pomorskie;rypiñski;44121;320;18092;25;t0412;20719;34;157;0;5153;261
kujawsko-pomorskie;sêpoleñski;57507;197;23428;15;t0413;28371;31;54;0;5654;151
kujawsko-pomorskie;œwiecki;96848;663;38758;54;t0414;46638;111;473;0;10979;498
kujawsko-pomorskie;toruñski;83435;287;33424;44;t0415;42541;22;418;0;7052;221
kujawsko-pomorskie;tucholski;46331;325;19155;18;t0416;22709;38;193;3;4274;266
kujawsko-pomorskie;w¹brzeski;33698;101;13775;10;t0417;16643;3;198;0;3082;88
kujawsko-pomorskie;w³oc³awski;77164;420;33052;29;t0418;36552;43;248;1;7312;347
kujawsko-pomorskie;¿niñski;61094;264;26476;8;t0419;29262;27;275;0;5081;229
kujawsko-pomorskie;Bydgoszcz;546044;2750;213999;122;t0461;251603;202;1521;3;78921;2423
kujawsko-pomorskie;Grudzi¹dz;150528;715;60733;55;t0462;72122;54;564;0;17109;606
kujawsko-pomorskie;Toruñ;256811;1276;96546;86;t0463;115700;98;1015;4;43550;1088
kujawsko-pomorskie;W³oc³awek;124395;547;46019;42;t0464;59474;92;1192;0;17710;413
lubelskie;bialski;76369;489;30617;69;t0601;37050;49;623;0;8079;371
lubelskie;bi³gorajski;68808;400;28098;53;t0602;32096;52;252;0;8362;295
lubelskie;che³mski;44696;150;18610;26;t0603;21127;15;341;0;4618;109
lubelskie;hrubieszowski;56667;404;22555;37;t0604;27086;77;1062;3;5964;287
lubelskie;janowski;38003;156;15983;33;t0605;18363;14;507;0;3150;109
lubelskie;krasnostawski;52184;396;20805;29;t0606;24633;32;514;23;6232;312
lubelskie;kraœnicki;83954;571;34750;97;t0607;39633;50;415;2;9156;422
lubelskie;lubartowski;70244;541;28934;111;t0608;33266;72;1419;58;6625;300
lubelskie;lubelski;105976;620;42472;75;t0609;51349;50;903;0;11252;495
lubelskie;³êczyñski;48775;268;20745;15;t0610;22924;29;745;0;4361;224
lubelskie;³ukowski;71637;312;29383;35;t0611;34694;42;213;0;7347;235
lubelskie;opolski;57209;268;23249;31;t0612;27554;46;295;1;6111;190
lubelskie;parczewski;35463;479;14205;72;t0613;16941;61;575;0;3742;346
lubelskie;pu³awski;121080;521;50507;64;t0614;56206;47;463;0;13904;410
lubelskie;radzyñski;39105;303;16067;29;t0615;18580;29;211;1;4247;244
lubelskie;rycki;64163;268;27568;27;t0616;30320;21;532;0;5743;220
lubelskie;œwidnicki;61050;301;24515;27;t0617;27347;32;195;0;8993;242
lubelskie;tomaszowski;68142;237;28002;6;t0618;33326;14;319;0;6495;217
lubelskie;w³odawski;42285;226;17341;1;t0619;20219;12;176;0;4549;213
lubelskie;zamojski;60460;319;25614;20;t0620;27493;36;267;0;7086;263
lubelskie;Bia³a Podlaska;89194;337;36574;53;t0661;42683;42;141;0;9796;242
lubelskie;Che³m;80927;382;31726;23;t0662;39260;36;154;1;9787;322
lubelskie;Lublin;560867;2451;220079;280;t0663;266510;219;3103;3;71175;1949
lubelskie;Zamoœæ;111450;564;45760;88;t0664;52760;95;219;3;12711;378
lubuskie;gorzowski;37393;265;14920;23;t0801;17337;26;210;0;4926;216
lubuskie;kroœnieñski;62821;452;25463;40;t0802;30218;68;51;0;7089;344
lubuskie;miêdzyrzecki;81462;388;33129;45;t0803;38782;39;851;3;8700;301
lubuskie;nowosolski;115603;596;43965;59;t0804;56771;88;424;0;14443;449
lubuskie;s³ubicki;49345;382;19968;60;t0805;24085;63;83;0;5209;259
lubuskie;strzelecko-drezdenecki;63635;404;24293;46;t0806;31860;43;164;1;7318;314
lubuskie;sulêciñski;40028;183;15263;18;t0807;20164;28;400;2;4201;135
lubuskie;œwiebodziñski;66456;88;26940;8;t0808;32112;7;75;0;7329;73
lubuskie;zielonogórski;106380;356;43462;44;t0809;51706;52;679;70;10533;190
lubuskie;¿agañski;87129;628;33320;56;t0810;42097;94;642;0;11070;478
lubuskie;¿arski;120907;633;49562;44;t0811;58199;90;155;4;12991;495
lubuskie;wschowski;34052;202;14175;13;t0812;16219;13;210;0;3448;176
lubuskie;Gorzów Wielkopolski;199384;722;75752;68;t0861;98415;169;604;2;24613;483
lubuskie;Zielona Góra;191367;1129;76662;47;t0862;86947;84;463;4;27295;994
³ódzkie;be³chatowski;92376;833;36246;49;t1001;44259;106;321;2;11550;676
³ódzkie;kutnowski;110577;586;46173;51;t1002;50278;61;454;17;13672;457
³ódzkie;³aski;42672;175;18280;9;t1003;20301;9;92;0;3999;157
³ódzkie;³êczycki;62655;353;25512;41;t1004;30577;47;217;4;6349;261
³ódzkie;³owicki;106247;263;45359;20;t1005;50222;20;517;0;10149;223
³ódzkie;³ódzki wschodni;49159;455;18527;49;t1006;22869;55;226;1;7537;350
³ódzkie;opoczyñski;71787;304;29009;30;t1007;35738;32;448;0;6592;242
³ódzkie;pabianicki;137110;1116;55099;91;t1008;61975;109;544;3;19492;913
³ódzkie;pajêczañski;34377;244;14255;5;t1009;17280;9;63;0;2779;230
³ódzkie;piotrkowski;59817;260;24953;5;t1010;29220;29;261;0;5383;226
³ódzkie;poddêbicki;44389;343;18801;17;t1011;21039;34;415;2;4134;290
³ódzkie;radomszczañski;107518;630;44483;34;t1012;50756;57;648;1;11631;538
³ódzkie;rawski;35124;192;14486;23;t1013;17331;30;381;0;2926;139
³ódzkie;sieradzki;121005;608;48877;51;t1014;59220;103;900;0;12008;454
³ódzkie;skierniewicki;27567;326;12001;37;t1015;13593;40;141;45;1832;204
³ódzkie;tomaszowski;128639;639;53303;65;t1016;61285;64;405;0;13646;510
³ódzkie;wieluñski;102922;702;43656;32;t1017;49300;86;795;24;9171;560
³ódzkie;wieruszowski;40128;251;15948;26;t1018;19555;23;161;0;4464;202
³ódzkie;zduñskowolski;61305;399;24904;20;t1019;29214;42;123;0;7064;337
³ódzkie;zgierski;162308;919;65616;65;t1020;75674;88;537;1;20481;765
³ódzkie;brzeziñski;40647;140;17469;2;t1021;19333;14;93;0;3752;124
³ódzkie;£ódŸ;1114157;5376;450696;295;t1061;514149;454;8508;14;140804;4613
³ódzkie;Piotrków Trybunalski;102422;604;41247;42;t1062;48637;66;654;1;11884;495
³ódzkie;Skierniewice;88621;345;36285;6;t1063;41947;42;871;0;9518;297
ma³opolskie;bocheñski;92668;307;37544;24;t1201;46678;24;164;0;8282;259
ma³opolskie;brzeski;80322;416;33229;41;t1202;39438;41;107;1;7548;333
ma³opolskie;chrzanowski;135235;772;53839;52;t1203;64132;69;377;1;16887;650
ma³opolskie;d¹browski;50128;331;21298;54;t1204;24621;48;129;0;4080;229
ma³opolskie;gorlicki;101948;383;42802;42;t1205;49114;75;183;0;9849;266
ma³opolskie;krakowski;194633;1021;79633;71;t1206;91271;106;1641;4;22088;840
ma³opolskie;limanowski;104971;320;43368;29;t1207;53373;52;323;0;7907;239
ma³opolskie;miechowski;69551;331;30459;10;t1208;33218;29;93;1;5781;291
ma³opolskie;myœlenicki;122787;515;51884;66;t1209;60091;67;423;2;10389;380
ma³opolskie;nowos¹decki;150678;462;61575;33;t1210;77293;60;306;0;11504;369
ma³opolskie;nowotarski;154505;749;63237;69;t1211;77740;109;430;1;13098;570
ma³opolskie;olkuski;130115;724;53471;44;t1212;62565;71;342;2;13737;607
ma³opolskie;oœwiêcimski;147431;764;60536;64;t1213;68479;53;579;1;17837;646
ma³opolskie;proszowicki;51329;465;22212;38;t1214;24705;65;269;14;4143;348
ma³opolskie;suski;82034;449;34699;48;t1215;38919;54;294;1;8122;346
ma³opolskie;tarnowski;111357;725;46853;56;t1216;54663;102;555;2;9286;565
ma³opolskie;tatrzañski;42669;147;17809;12;t1217;20360;21;221;0;4279;114
ma³opolskie;wadowicki;145837;850;57569;73;t1218;71768;106;540;2;15960;669
ma³opolskie;wielicki;136043;608;53834;65;t1219;66442;76;399;1;15368;466
ma³opolskie;Kraków;1421423;5226;589297;359;t1261;661665;386;4291;13;166170;4468
ma³opolskie;Nowy S¹cz;78282;317;32215;9;t1262;37047;50;133;0;8887;258
ma³opolskie;Tarnów;142789;879;55809;104;t1263;68382;97;330;5;18268;673
mazowieckie;bia³obrzeski;42419;256;18079;20;t1401;20565;32;403;1;3372;203
mazowieckie;ciechanowski;96922;454;40247;55;t1402;45560;42;745;10;10370;347
mazowieckie;garwoliñski;100740;626;42808;98;t1403;47891;76;547;5;9494;447
mazowieckie;gostyniñski;34082;23;14641;1;t1404;15662;3;205;0;3574;19
mazowieckie;grodziski;114656;406;46973;53;t1405;54831;40;677;5;12175;308
mazowieckie;grójecki;126592;531;52728;66;t1406;61986;66;1620;42;10258;357
mazowieckie;kozienicki;54604;369;22598;36;t1407;25436;41;239;1;6331;291
mazowieckie;legionowski;99329;555;36426;23;t1408;46920;41;584;1;15399;490
mazowieckie;lipski;31235;197;13397;15;t1409;15079;17;168;0;2591;165
mazowieckie;³osicki;22860;214;9703;19;t1410;10733;17;228;18;2196;160
mazowieckie;makowski;50315;425;20497;25;t1411;24768;80;154;0;4896;320
mazowieckie;miñski;156242;791;62328;78;t1412;77210;111;588;5;16116;597
mazowieckie;m³awski;74746;507;31382;56;t1413;35378;59;737;0;7249;392
mazowieckie;nowodworski;134901;926;55920;214;t1414;67709;139;664;5;10608;568
mazowieckie;ostro³êcki;59473;292;25062;51;t1415;28827;39;490;16;5094;186
mazowieckie;ostrowski;60940;362;26794;67;t1416;28241;43;410;9;5495;243
mazowieckie;otwocki;116501;711;47703;36;t1417;51896;63;1600;2;15302;610
mazowieckie;piaseczyñski;302349;1098;121118;68;t1418;142833;101;1319;4;37079;925
mazowieckie;p³ocki;101024;295;43420;19;t1419;48432;15;380;2;8792;259
mazowieckie;p³oñski;94456;636;39532;49;t1420;46141;56;533;2;8250;529
mazowieckie;pruszkowski;168875;880;68355;45;t1421;77746;72;1111;0;21663;763
mazowieckie;przasnyski;59614;274;25526;14;t1422;28570;41;216;0;5302;219
mazowieckie;przysuski;35152;265;14719;40;t1423;16786;41;357;0;3290;184
mazowieckie;pu³tuski;56075;298;23677;50;t1424;26551;43;217;35;5630;170
mazowieckie;radomski;78885;611;32608;100;t1425;37299;76;327;11;8651;424
mazowieckie;siedlecki;36915;210;15977;20;t1426;17461;35;268;1;3209;154
mazowieckie;sierpecki;53404;277;22826;41;t1427;25215;17;260;0;5103;219
mazowieckie;sochaczewski;101046;419;42005;27;t1428;47833;39;178;0;11030;353
mazowieckie;soko³owski;52136;300;21285;80;t1429;24836;30;154;0;5861;190
mazowieckie;szyd³owiecki;25925;245;10021;28;t1430;13599;32;27;1;2278;184
mazowieckie;warszawski zachodni;146236;986;58150;104;t1432;65373;93;772;2;21941;787
mazowieckie;wêgrowski;55746;348;23716;36;t1433;26392;52;237;2;5401;258
mazowieckie;wo³omiñski;266125;1324;103806;146;t1434;130013;160;826;0;31480;1018
mazowieckie;wyszkowski;76938;529;32192;66;t1435;36254;92;418;0;8074;371
mazowieckie;zwoleñski;33544;110;14505;25;t1436;16148;28;187;0;2704;57
mazowieckie;¿uromiñski;34942;151;15416;3;t1437;15990;22;523;6;3013;120
mazowieckie;¿yrardowski;72985;408;29074;44;t1438;34016;60;421;19;9474;285
mazowieckie;Ostro³êka;86253;237;35699;18;t1461;40473;34;314;0;9767;185
mazowieckie;P³ock;162134;735;63397;53;t1462;75363;52;477;0;22897;630
mazowieckie;Radom;281323;1304;114582;110;t1463;135684;148;1001;1;30056;1045
mazowieckie;Siedlce;139321;550;58773;60;t1464;68327;109;300;1;11921;380
mazowieckie;Warszawa;3192328;14402;1270549;934;t1465;1470248;1047;18683;90;432848;12331
opolskie;brzeski;84419;603;35396;53;t1601;40877;77;698;30;7448;443
opolskie;g³ubczycki;50179;177;20389;7;t1602;23973;15;73;0;5744;155
opolskie;kêdzierzyñsko-kozielski;95325;506;39874;19;t1603;45371;55;511;2;9569;430
opolskie;kluczborski;67283;301;27472;23;t1604;31582;41;378;0;7851;237
opolskie;krapkowicki;118005;404;47129;72;t1605;57611;45;255;2;13010;285
