wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;10;0;3;0;t0;3;0;0;0;4;0
dolnoœl¹skie;4318129;1141;1555031;158;t02;1797543;117;16831;3;948724;863
kujawsko-pomorskie;2922406;568;1051289;111;t04;1218817;70;11991;1;640309;386
lubelskie;2483365;256;914605;58;t06;1053778;28;13426;1;501556;169
lubuskie;1504392;195;538165;26;t08;644502;17;5367;1;316358;151
³ódzkie;3518899;529;1289372;96;t10;1464721;49;18655;0;746151;384
ma³opolskie;4505472;1267;1658434;179;t12;1897664;116;14033;14;935341;958
mazowieckie;8561716;2105;3099917;319;t14;3551742;228;40334;30;1869723;1528
opolskie;1259039;243;463643;50;t16;529340;37;5017;3;261039;153
podkarpackie;2210085;294;833140;42;t18;968628;32;8376;1;399941;219
podlaskie;1510865;227;563983;45;t20;650301;34;6049;0;290532;148
pomorskie;3581591;935;1297209;156;t22;1490275;69;14774;2;779333;708
œl¹skie;6367111;1388;2305174;212;t24;2654545;120;20477;8;1386915;1048
œwiêtokrzyskie;1531268;209;560492;29;t26;649609;39;6234;2;314933;139
warmiñsko-mazurskie;1878886;380;682816;105;t28;785437;49;10467;0;400166;226
wielkopolskie;5229962;1090;1916162;190;t30;2168579;144;20135;12;1125086;744
zachodniopomorskie;2511826;505;896889;70;t32;1058370;52;10543;1;546024;382
ca³y kraj;53895022;11332;19626324;1846;t00;22583854;1201;222709;79;11462135;8206
