wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2039855;28399;750728;19603;t02
kujawsko-pomorskie;1307636;23334;471155;16511;t04
lubelskie;1207078;17384;474912;13207;t06
lubuskie;692113;10960;262564;8474;t08
³ódzkie;1659339;25351;624684;18921;t10
ma³opolskie;2063291;27135;749558;17881;t12
mazowieckie;3867371;50347;1410383;34158;t14
opolskie;632396;8895;248291;7015;t16
podkarpackie;1174011;14689;485604;12191;t18
podlaskie;785095;9632;325237;7905;t20
pomorskie;1663531;24132;644241;18111;t22
œl¹skie;3028617;43060;1126347;30250;t24
œwiêtokrzyskie;706418;11437;262201;8588;t26
warmiñsko-mazurskie;829806;12898;311994;8206;t28
wielkopolskie;2221477;32217;801063;19878;t30
zachodniopomorskie;1180500;15524;448906;11477;t32
ca³y kraj;25058534;355394;9397868;252376;t00
