wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;4680;54;971;42;
dolnośląskie;417683;12209;147290;4908;t02
kujawsko-pomorskie;243555;7039;87280;3144;t04
lubelskie;280684;9303;100724;3848;t06
lubuskie;119546;3688;42846;1415;t08
łódzkie;328259;10904;121564;4681;t10
małopolskie;404873;12519;141706;5128;t12
mazowieckie;763908;22233;270485;10562;t14
opolskie;124237;4047;44769;1869;t16
podkarpackie;248287;8741;87868;3550;t18
podlaskie;161079;5440;56237;2399;t20
pomorskie;328829;9583;115357;4141;t22
śląskie;524766;17385;184859;7103;t24
świętokrzyskie;138450;4446;49993;1974;t26
warmińsko-mazurskie;175886;6122;59896;2640;t28
wielkopolskie;418306;10574;142700;4664;t30
zachodniopomorskie;210292;5541;75804;2559;t32
cały kraj;4893320;149828;1730349;64627;t00
