wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;16;0;5;0;t0;2;0;0;0;9;0
dolnoœl¹skie;4296802;1039;1550809;247;t02;1795312;79;16691;24;933990;689
kujawsko-pomorskie;2910361;775;1048435;216;t04;1217482;73;11907;1;632537;485
lubelskie;2475152;288;912580;74;t06;1052793;40;13338;24;496441;150
lubuskie;1497891;388;536808;93;t08;643772;24;5329;2;311982;269
³ódzkie;3504636;680;1286204;156;t10;1463302;70;18499;7;736631;447
ma³opolskie;4481318;1889;1654483;414;t12;1895274;187;13933;21;917628;1267
mazowieckie;8518725;2531;3091588;632;t14;3546085;246;39933;9;1841119;1644
opolskie;1253661;287;462414;64;t16;528605;23;4974;2;257668;198
podkarpackie;2202919;386;831549;68;t18;967694;43;8299;0;395377;275
podlaskie;1505743;157;562889;27;t20;649475;19;6000;0;287379;111
pomorskie;3563126;1088;1293430;321;t22;1488167;109;14687;14;766842;644
œl¹skie;6336485;2008;2299454;440;t24;2651654;189;20261;2;1365116;1377
œwiêtokrzyskie;1525838;189;559277;49;t26;648877;8;6316;0;311368;132
warmiñsko-mazurskie;1870195;140;680751;19;t28;784540;15;10419;2;394485;104
wielkopolskie;5204254;1842;1910767;500;t30;2165277;149;19945;3;1108265;1190
zachodniopomorskie;2501107;632;894627;187;t32;1057170;58;10486;3;538824;384
ca³y kraj;53648229;14319;19576070;3507;t00;22555481;1332;221017;114;11295661;9366
