wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;29026;3336;2827;569;t0
dolnoœl¹skie;983507;23879;252252;5369;t02
kujawsko-pomorskie;590305;16955;143399;3583;t04
lubelskie;636340;19277;174065;4093;t06
lubuskie;308303;8819;77838;2700;t08
³ódzkie;768195;22716;195999;4550;t10
ma³opolskie;955303;26868;238738;5902;t12
mazowieckie;1802243;45842;453054;10535;t14
opolskie;290031;9790;75609;1461;t16
podkarpackie;593628;15455;156330;3858;t18
podlaskie;383287;10363;102698;2844;t20
pomorskie;770687;25544;194963;3780;t22
œl¹skie;1336813;41406;313508;7334;t24
œwiêtokrzyskie;334278;10849;82891;1916;t26
warmiñsko-mazurskie;411845;11379;105225;2719;t28
wielkopolskie;1019992;28940;249668;6472;t30
zachodniopomorskie;537441;16145;122994;2748;t32
ca³y kraj;11751224;337563;2942058;70433;t00
