wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;10;0;1;0;t0;5;0;0;0;4;0
dolnoœl¹skie;4335637;857;1557696;107;t02;1799251;60;16948;1;961742;689
kujawsko-pomorskie;2931366;369;1052777;61;t04;1219732;29;12044;2;646813;277
lubelskie;2489432;317;915732;53;t06;1054638;32;13500;3;505562;229
lubuskie;1509387;184;539134;46;t08;645109;16;5384;1;319760;121
³ódzkie;3529610;491;1291257;80;t10;1465843;44;18792;0;753718;367
ma³opolskie;4525427;1070;1661200;135;t12;1899453;96;14160;4;950614;835
mazowieckie;8597691;1712;3105407;208;t14;3556497;167;40769;15;1895018;1322
opolskie;1263227;152;464461;23;t16;529880;12;5030;0;263856;117
podkarpackie;2215726;322;834269;58;t18;969401;36;8415;0;403641;228
podlaskie;1514707;162;564747;28;t20;650896;16;6098;0;292966;118
pomorskie;3596350;675;1299508;73;t22;1491797;39;14934;5;790111;558
œl¹skie;6392482;1311;2309124;179;t24;2656947;126;20691;9;1405720;997
œwiêtokrzyskie;1535155;167;561258;27;t26;650002;12;6254;0;317641;128
warmiñsko-mazurskie;1884065;206;683816;36;t28;785968;7;10519;4;403762;159
wielkopolskie;5279014;843;1919364;106;t30;2200139;140;20413;25;1139098;572
zachodniopomorskie;2520506;404;898321;60;t32;1059344;41;10637;9;552204;294
ca³y kraj;54119792;9242;19658072;1280;t00;22634902;873;224588;78;11602230;7011
