wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2733940;6406;1270015;4201;t02
kujawsko-pomorskie;1815875;5831;837701;4184;t04
lubelskie;1554700;2286;723942;1415;t06
lubuskie;921000;2620;430129;1516;t08
³ódzkie;2224187;5442;1037924;3492;t10
ma³opolskie;2864058;11739;1324255;7694;t12
mazowieckie;5287338;14301;2458234;9162;t14
opolskie;808633;1177;380892;701;t16
podkarpackie;1446038;2573;676835;1062;t18
podlaskie;968491;825;456305;351;t20
pomorskie;2213583;6647;1035393;3827;t22
œl¹skie;4071634;12274;1892942;7979;t24
œwiêtokrzyskie;958560;2711;441122;1753;t26
warmiñsko-mazurskie;1139662;2813;529643;1415;t28
wielkopolskie;3178342;12034;1478410;8463;t30
zachodniopomorskie;1553676;4094;717689;2592;t32
ca³y kraj;33739742;93773;15691431;59807;t00
