wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;48;1;18;1;t0;20;0;0;0;10;0
dolnoœl¹skie;4161156;7745;1515222;1448;t02;1779781;913;15810;67;850343;5317
kujawsko-pomorskie;2818187;5411;1023506;1229;t04;1207535;651;11465;49;575681;3482
lubelskie;2409352;4979;895296;1028;t06;1044644;527;12916;48;456496;3376
lubuskie;1451854;2999;524283;725;t08;638252;390;5054;31;284265;1853
³ódzkie;3402939;6959;1257753;1355;t10;1451126;796;17763;66;676297;4742
ma³opolskie;4336733;8716;1619581;1820;t12;1881044;909;13042;63;823066;5924
mazowieckie;8263329;14439;3023147;3067;t14;3514614;1840;38628;133;1686940;9399
opolskie;1216875;2184;451992;419;t16;524322;254;4660;4;235901;1507
podkarpackie;2150345;3515;817389;798;t18;961019;402;7835;59;364102;2256
podlaskie;1468886;2700;552682;524;t20;644412;365;5621;35;266171;1776
pomorskie;3442433;6811;1260544;1514;t22;1473544;771;14119;14;694226;4512
œl¹skie;6145052;11087;2250760;2144;t24;2630276;1256;19250;56;1244766;7631
œwiêtokrzyskie;1480234;3513;547194;652;t26;643467;378;6014;62;283559;2421
warmiñsko-mazurskie;1802040;4773;662799;903;t28;775618;646;9882;32;353741;3192
wielkopolskie;5020692;10728;1861805;2298;t30;2145359;1299;19325;30;994203;7101
zachodniopomorskie;2425923;4422;875185;900;t32;1048189;592;10270;17;492279;2913
ca³y kraj;51996078;100982;19139156;20825;t00;22363222;11989;211654;766;10282046;67402
