wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;10;0;0;0;t0;2;0;0;0;8;0
dolnoœl¹skie;4295728;3118;1550559;825;t02;1795212;282;16666;26;933291;1985
kujawsko-pomorskie;2909476;1458;1048206;393;t04;1217384;141;11906;7;631980;917
lubelskie;2474809;1372;912501;396;t06;1052718;163;13314;7;496276;806
lubuskie;1497466;807;536708;212;t08;643733;80;5327;1;311698;514
³ódzkie;3503908;2000;1286043;502;t10;1463206;202;18492;8;736167;1288
ma³opolskie;4479358;3359;1654056;690;t12;1895058;267;13912;11;916332;2391
mazowieckie;8515905;5018;3090923;1077;t14;3545677;473;39923;26;1839382;3442
opolskie;1253347;872;462340;253;t16;528575;69;4972;4;257460;546
podkarpackie;2202512;1236;831476;314;t18;967636;147;8299;8;395101;767
podlaskie;1505516;777;562835;229;t20;649435;105;6000;9;287246;434
pomorskie;3561998;2500;1293101;565;t22;1488037;227;14673;12;766187;1696
œl¹skie;6334151;4570;2298940;955;t24;2651404;398;20256;31;1363551;3186
œwiêtokrzyskie;1525633;852;559228;250;t26;648858;82;6316;13;311231;507
warmiñsko-mazurskie;1869967;1080;680707;298;t28;784516;109;10417;1;394327;672
wielkopolskie;5202241;3267;1910239;841;t30;2165046;272;19941;24;1107015;2130
zachodniopomorskie;2500448;1239;894437;297;t32;1057095;136;10483;7;538433;799
ca³y kraj;53632473;33525;19572299;8097;t00;22553592;3153;220897;195;11285685;22080
