wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;15;0;5;0;t0;10;0;0;0;0;0
dolnoœl¹skie;3311719;15053;1432166;1239;t02;1658900;2974;20121;141;200532;10699
kujawsko-pomorskie;2223474;9967;962601;714;t04;1121448;1773;14223;214;125202;7266
lubelskie;1951622;10300;837055;1426;t06;979356;2107;16188;219;119023;6548
lubuskie;1149540;6196;490223;381;t08;584222;1772;6167;65;68928;3978
³ódzkie;2713201;14283;1187227;1220;t10;1354940;2631;22220;164;148814;10268
ma³opolskie;3484206;17083;1526042;1379;t12;1756778;3182;15323;249;186063;12273
mazowieckie;6526909;32560;2828829;2606;t14;3255106;5256;46919;436;396055;24262
opolskie;965631;4406;424071;326;t16;485834;1250;5521;50;50205;2780
podkarpackie;1775011;8022;770788;750;t18;898501;1683;9811;154;95911;5435
podlaskie;1195998;5641;517825;659;t20;600854;1199;6719;125;70600;3658
pomorskie;2726772;13011;1185155;1054;t22;1360489;2243;15770;143;165358;9571
œl¹skie;4898002;25705;2133402;1624;t24;2462267;3984;22047;283;280286;19814
œwiêtokrzyskie;1185112;5489;516569;467;t26;601765;1075;7221;155;59557;3792
warmiñsko-mazurskie;1425007;6162;619026;621;t28;715204;1242;11016;115;79761;4184
wielkopolskie;3940986;20104;1736282;1395;t30;1967858;4166;24358;250;212488;14293
zachodniopomorskie;1925784;10853;824578;851;t32;973405;2077;11340;118;116461;7807
ca³y kraj;41398989;204835;17991844;16712;t00;20776937;38614;254964;2881;2375244;146628
