wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
woj_puste;pow_puste;4;0;0;0;t00;4;0;0;0;0;0
dolnoœl¹skie;boles³awiecki;82909;264;34858;12;t0201;43054;43;394;0;4603;209
dolnoœl¹skie;dzier¿oniowski;79467;245;34233;18;t0202;39139;64;344;0;5751;163
dolnoœl¹skie;g³ogowski;76428;359;31544;32;t0203;38262;46;168;0;6454;281
dolnoœl¹skie;górowski;29800;73;12646;4;t0204;15396;5;218;11;1540;53
dolnoœl¹skie;jaworski;44596;278;18519;14;t0205;22913;45;32;0;3132;219
dolnoœl¹skie;jeleniogórski;58577;326;24734;12;t0206;29501;27;528;0;3814;287
dolnoœl¹skie;kamiennogórski;36980;67;15885;1;t0207;18110;3;100;0;2885;63
dolnoœl¹skie;k³odzki;148399;673;63337;68;t0208;72968;148;755;1;11339;456
dolnoœl¹skie;legnicki;48875;75;20380;4;t0209;25638;7;344;0;2513;64
dolnoœl¹skie;lubañski;34883;195;13474;18;t0210;18679;39;85;0;2645;138
dolnoœl¹skie;lubiñski;141921;952;62138;81;t0211;68611;139;1261;1;9911;731
dolnoœl¹skie;lwówecki;47496;88;20467;4;t0212;23941;7;405;0;2683;77
dolnoœl¹skie;milicki;38804;89;17077;2;t0213;19199;40;137;1;2391;46
dolnoœl¹skie;oleœnicki;116848;279;48719;24;t0214;59191;46;567;34;8371;175
dolnoœl¹skie;o³awski;49687;0;21949;0;t0215;24844;0;94;0;2800;0
dolnoœl¹skie;polkowicki;46457;161;19165;9;t0216;24837;41;35;0;2420;111
dolnoœl¹skie;strzeliñski;42086;246;18298;13;t0217;20909;34;422;27;2457;172
dolnoœl¹skie;œredzki;26312;107;11128;5;t0218;12711;15;589;17;1884;70
dolnoœl¹skie;œwidnicki;119411;416;50003;22;t0219;59373;61;960;18;9075;315
dolnoœl¹skie;trzebnicki;67627;144;30272;5;t0220;32517;11;288;0;4550;128
dolnoœl¹skie;wa³brzyski;36217;59;15927;2;t0221;17342;0;377;0;2571;57
dolnoœl¹skie;wo³owski;48108;252;19842;6;t0222;25161;33;592;0;2513;213
dolnoœl¹skie;wroc³awski;116585;238;51397;5;t0223;57061;30;1624;1;6503;202
dolnoœl¹skie;z¹bkowicki;64221;396;27223;6;t0224;31911;58;486;0;4601;332
dolnoœl¹skie;zgorzelecki;68428;293;28610;22;t0225;35160;104;454;1;4204;166
dolnoœl¹skie;z³otoryjski;40013;198;16519;5;t0226;20348;27;246;1;2900;165
dolnoœl¹skie;Jelenia Góra;104878;486;45497;25;t0261;49875;52;630;2;8876;407
dolnoœl¹skie;Legnica;104183;367;44684;35;t0262;51385;52;531;1;7583;279
dolnoœl¹skie;Wroc³aw;1191464;4068;514003;193;t0264;589097;407;5889;13;82475;3455
dolnoœl¹skie;Wa³brzych;233813;470;101717;24;t0265;117404;48;880;0;13812;398
kujawsko-pomorskie;aleksandrowski;141818;241;64544;13;t0401;70929;20;933;9;5412;199
kujawsko-pomorskie;brodnicki;82670;453;36080;41;t0402;41117;72;587;2;4886;338
kujawsko-pomorskie;bydgoski;86366;271;38379;11;t0403;42665;35;433;0;4889;225
kujawsko-pomorskie;che³miñski;48343;285;20776;14;t0404;23629;41;40;0;3898;230
kujawsko-pomorskie;golubsko-dobrzyñski;39494;72;17631;3;t0405;20194;2;528;0;1141;67
kujawsko-pomorskie;grudzi¹dzki;29386;155;12720;4;t0406;15361;31;13;2;1292;118
kujawsko-pomorskie;inowroc³awski;117972;362;51936;18;t0407;57742;18;827;1;7467;325
kujawsko-pomorskie;lipnowski;60244;154;26179;14;t0408;30749;33;210;0;3106;107
kujawsko-pomorskie;mogileñski;38950;244;16650;33;t0409;19492;45;353;0;2455;166
kujawsko-pomorskie;nakielski;96516;259;40089;21;t0410;50938;34;509;0;4980;204
kujawsko-pomorskie;radziejowski;48688;162;21764;17;t0411;24567;20;447;30;1910;95
kujawsko-pomorskie;rypiñski;41166;179;17928;4;t0412;20292;14;183;0;2763;161
kujawsko-pomorskie;sêpoleñski;54307;288;23280;9;t0413;27850;56;55;1;3122;222
kujawsko-pomorskie;œwiecki;89196;168;38290;24;t0414;45519;13;436;8;4951;123
kujawsko-pomorskie;toruñski;79113;284;33176;19;t0415;42072;18;493;0;3372;247
kujawsko-pomorskie;tucholski;43387;106;19014;5;t0416;22359;23;266;11;1748;67
kujawsko-pomorskie;w¹brzeski;31825;32;13632;1;t0417;16390;0;332;3;1471;28
kujawsko-pomorskie;w³oc³awski;72731;366;32713;24;t0418;36028;42;941;20;3049;280
kujawsko-pomorskie;¿niñski;58118;210;26298;18;t0419;28887;18;302;0;2631;174
kujawsko-pomorskie;Bydgoszcz;503306;2290;212170;85;t0461;247091;169;2464;7;41581;2029
kujawsko-pomorskie;Grudzi¹dz;140209;760;60152;28;t0462;70970;78;582;0;8505;654
kujawsko-pomorskie;Toruñ;233753;1129;95351;36;t0463;113140;145;1163;7;24099;941
kujawsko-pomorskie;W³oc³awek;113206;910;45373;34;t0464;57501;99;1676;1;8656;776
