wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;5953;331;1298;121;
dolnośląskie;460381;15657;158604;4142;t02
kujawsko-pomorskie;268975;9806;92243;2405;t04
lubelskie;308631;10465;108085;3053;t06
lubuskie;132604;5152;45547;1336;t08
łódzkie;358067;11649;129874;3188;t10
małopolskie;444681;13457;152294;2986;t12
mazowieckie;838465;27852;289916;7283;t14
opolskie;135901;4801;47433;1146;t16
podkarpackie;276574;9716;95288;2675;t18
podlaskie;179035;6601;61241;2019;t20
pomorskie;360185;10928;124417;2987;t22
śląskie;574388;19155;199082;5168;t24
świętokrzyskie;153083;5935;52953;1083;t26
warmińsko-mazurskie;194684;7048;64751;1777;t28
wielkopolskie;459826;16841;154227;5212;t30
zachodniopomorskie;230293;7344;80264;1710;t32
cały kraj;5381726;182738;1857517;48291;t00
