wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;12;0;4;0;t0;4;0;0;0;4;0
dolnoœl¹skie;4337764;1028;1557995;130;t02;1799419;69;16934;16;963416;813
kujawsko-pomorskie;2932559;583;1052937;89;t04;1219817;22;12032;0;647773;472
lubelskie;2490152;397;915826;57;t06;1054693;31;13496;1;506137;308
lubuskie;1510012;304;539207;25;t08;645164;28;5384;0;320257;251
³ódzkie;3531038;642;1291405;61;t10;1465966;57;18798;0;754869;524
ma³opolskie;4527943;1281;1661504;139;t12;1899649;88;14174;7;952616;1047
mazowieckie;8602340;2025;3106086;201;t14;3556880;139;40770;19;1898604;1666
opolskie;1263674;174;464520;16;t16;529924;15;5037;0;264193;143
podkarpackie;2216441;295;834385;45;t18;969469;21;8417;3;404170;226
podlaskie;1515129;164;564809;18;t20;650968;12;6099;0;293253;134
pomorskie;3598279;972;1299727;109;t22;1491943;73;14967;19;791642;771
œl¹skie;6395607;1604;2309453;173;t24;2657158;91;20701;3;1408295;1337
œwiêtokrzyskie;1535790;321;561323;26;t26;650066;26;6254;0;318147;269
warmiñsko-mazurskie;1884814;338;683955;55;t28;786022;20;10527;10;404310;253
wielkopolskie;5282240;1178;1919681;139;t30;2201162;120;20409;11;1140988;908
zachodniopomorskie;2521569;515;898440;54;t32;1059433;24;10629;0;553067;437
ca³y kraj;54145363;11821;19661257;1337;t00;22637737;836;224628;89;11621741;9559
