wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;23;0;11;0;t0;6;0;0;0;6;0
dolnoœl¹skie;4309296;1293;1553370;231;t02;1796562;126;16754;2;942610;934
kujawsko-pomorskie;2917483;668;1050230;141;t04;1218281;79;11959;4;637013;444
lubelskie;2480032;433;913824;101;t06;1053414;69;13383;1;499411;262
lubuskie;1501775;315;537604;40;t08;644193;44;5348;0;314630;231
³ódzkie;3513112;637;1288188;136;t10;1464171;64;18592;16;742161;421
ma³opolskie;4495621;1628;1656820;209;t12;1896631;147;13994;2;928176;1270
mazowieckie;8544050;2421;3096552;314;t14;3549485;269;40162;39;1857851;1799
opolskie;1256820;223;463159;43;t16;529023;24;4984;1;259654;155
podkarpackie;2207340;387;832570;73;t18;968287;54;8348;3;398135;257
podlaskie;1508773;243;563515;37;t20;649957;39;6045;0;289256;167
pomorskie;3574256;1119;1295808;196;t22;1489432;120;14728;3;774288;800
œl¹skie;6354300;1664;2302958;250;t24;2653247;141;20394;5;1377701;1268
œwiêtokrzyskie;1529055;292;560012;69;t26;649276;25;6328;1;313439;197
warmiñsko-mazurskie;1875250;365;682012;67;t28;785045;28;10445;11;397748;259
wielkopolskie;5219231;1158;1914188;184;t30;2166852;105;20063;3;1118128;866
zachodniopomorskie;2507585;624;896085;133;t32;1057903;64;10517;0;543080;427
ca³y kraj;53794002;13470;19606906;2224;t00;22571765;1398;222044;91;11393287;9757
