wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;12313;853;1375;48;
dolnośląskie;694554;20163;186915;4003;t02
kujawsko-pomorskie;406701;12590;105346;2874;t04
lubelskie;460811;13394;128925;3505;t06
lubuskie;217405;6757;53980;1684;t08
łódzkie;539836;16839;148541;3501;t10
małopolskie;660909;19999;174696;3838;t12
mazowieckie;1283013;37858;339914;7783;t14
opolskie;201038;5890;56641;1590;t16
podkarpackie;427770;10161;115307;2855;t18
podlaskie;272030;8143;75990;2002;t20
pomorskie;529644;14059;148672;3177;t22
śląskie;920864;28049;234626;5449;t24
świętokrzyskie;232105;7017;61797;1504;t26
warmińsko-mazurskie;296277;8621;77678;2207;t28
wielkopolskie;707111;21944;187199;4309;t30
zachodniopomorskie;360989;11582;92693;1917;t32
cały kraj;8223370;243919;2190295;52246;t00
