wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;65;0;12;0;t0
dolnoœl¹skie;1468444;14802;421192;5579;t02
kujawsko-pomorskie;907118;10801;247111;4147;t04
lubelskie;906769;6493;282755;3125;t06
lubuskie;496592;6096;142934;1733;t08
³ódzkie;1187304;13216;338172;5724;t10
ma³opolskie;1447758;22738;419495;11735;t12
mazowieckie;2726372;47344;807029;18837;t14
opolskie;452679;3848;119217;1367;t16
podkarpackie;890594;10288;280522;4847;t18
podlaskie;577768;5593;173568;3667;t20
pomorskie;1190511;15891;335308;9042;t22
œl¹skie;2123305;26460;602881;13496;t24
œwiêtokrzyskie;503178;6709;139196;2842;t26
warmiñsko-mazurskie;598276;5255;174488;2675;t28
wielkopolskie;1553257;22390;442263;11190;t30
zachodniopomorskie;836596;12446;230041;5638;t32
ca³y kraj;17866586;230370;5156184;105644;t00
