wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;645;0;133;0;t0
dolnoœl¹skie;1811478;3638;608326;1702;t02
kujawsko-pomorskie;1145930;4767;371014;1951;t04
lubelskie;1082730;2821;387828;1120;t06
lubuskie;609260;2362;205001;926;t08
³ódzkie;1465399;6586;495188;3583;t10
ma³opolskie;1808408;8744;606854;1787;t12
mazowieckie;3424583;23113;1149946;6790;t14
opolskie;553998;3790;187279;3038;t16
podkarpackie;1056573;5269;394137;4479;t18
podlaskie;692884;752;253228;436;t20
pomorskie;1457714;4100;501896;1920;t22
œl¹skie;2671144;11642;895747;5823;t24
œwiêtokrzyskie;623291;2065;206952;552;t26
warmiñsko-mazurskie;729151;2756;248169;774;t28
wielkopolskie;1953458;10404;652461;2882;t30
zachodniopomorskie;1047716;3536;356413;1919;t32
ca³y kraj;22134362;96345;7520572;39682;t00
