wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;159;43;31;13;t0
dolnoœl¹skie;1577352;31271;481341;20373;t02
kujawsko-pomorskie;979197;19560;286077;12598;t04
lubelskie;964553;16890;316098;10779;t06
lubuskie;529919;9491;159922;5075;t08
³ódzkie;1274360;24364;383702;14165;t10
ma³opolskie;1552358;30342;475291;17980;t12
mazowieckie;2932337;55046;914872;32424;t14
opolskie;481732;8319;135965;4940;t16
podkarpackie;939785;14077;310971;9013;t18
podlaskie;616835;10011;199332;7191;t20
pomorskie;1270033;25804;379795;15284;t22
œl¹skie;2288322;49413;690517;28148;t24
œwiêtokrzyskie;539144;10298;159073;6286;t26
warmiñsko-mazurskie;640492;12806;197582;7336;t28
wielkopolskie;1679563;36742;507729;21117;t30
zachodniopomorskie;909030;18616;273908;12122;t32
ca³y kraj;19175171;373093;5872206;224844;t00
