wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;14;0;3;0;t0;7;0;0;0;4;0
dolnoœl¹skie;3849245;2339;1474417;144;t02;1738586;182;14723;2;621519;2011
kujawsko-pomorskie;2602349;1670;994088;506;t04;1177491;250;10529;2;420241;912
lubelskie;2247498;989;875372;374;t06;1023921;121;12175;2;336030;492
lubuskie;1350689;1258;509128;127;t08;622808;105;4817;0;213936;1026
³ódzkie;3156561;2185;1226085;461;t10;1418739;375;16437;3;495300;1346
ma³opolskie;4030045;3247;1577786;930;t12;1841977;423;11661;18;598621;1876
mazowieckie;7657861;7019;2933314;2145;t14;3435197;975;35502;5;1253848;3894
opolskie;1131046;1154;440388;461;t16;512578;146;3643;1;174437;546
podkarpackie;2027618;530;800167;154;t18;942634;81;7101;1;277716;294
podlaskie;1380238;332;540560;62;t20;631143;33;5060;0;203475;237
pomorskie;3183509;2758;1223272;749;t22;1434492;428;12883;2;512862;1579
œl¹skie;5702653;4435;2194739;840;t24;2572349;600;17483;1;918082;2994
œwiêtokrzyskie;1373568;984;534918;242;t26;628911;144;5349;0;204390;598
warmiñsko-mazurskie;1658961;1266;644127;264;t28;754550;219;9107;2;251177;781
wielkopolskie;4606737;3963;1802749;1502;t30;2086920;537;18034;4;699034;1920
zachodniopomorskie;2257100;1118;852710;277;t32;1024628;205;9695;0;370067;636
ca³y kraj;48215692;35247;18623823;9238;t00;21846931;4824;194199;43;7550739;21142
