wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;15;0;0;0;t0;5;0;0;0;10;0
dolnoœl¹skie;4284560;1271;1547803;321;t02;1794062;120;16595;10;926100;820
kujawsko-pomorskie;2903035;862;1046536;276;t04;1216765;66;11890;4;627844;516
lubelskie;2470042;280;911166;101;t06;1052147;31;13276;1;493453;147
lubuskie;1494045;397;535748;113;t08;643339;40;5307;0;309651;244
³ódzkie;3496434;704;1283920;223;t10;1462395;61;18442;9;731677;411
ma³opolskie;4467550;1680;1651633;421;t12;1893951;156;13859;18;908107;1085
mazowieckie;8494750;2842;3086220;903;t14;3543110;298;39707;22;1825713;1619
opolskie;1250155;302;461495;113;t16;528217;26;4954;3;255489;160
podkarpackie;2198362;593;830483;192;t18;967058;73;8285;5;392536;323
podlaskie;1502659;212;562130;58;t20;648977;30;5963;0;285589;124
pomorskie;3552027;1634;1290765;592;t22;1487005;168;14641;1;759616;873
œl¹skie;6318187;2429;2295401;783;t24;2649735;238;20178;3;1352873;1405
œwiêtokrzyskie;1522445;298;558235;84;t26;648521;34;6296;0;309393;180
warmiñsko-mazurskie;1864960;277;679156;110;t28;783947;23;10404;1;391453;143
wielkopolskie;5189673;1440;1906959;431;t30;2163625;144;19856;2;1099233;863
zachodniopomorskie;2495134;781;893088;259;t32;1056494;71;10458;3;535094;448
ca³y kraj;53504033;16002;19540738;4980;t00;22539353;1579;220111;82;11203831;9361
