wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;645;0;133;0;t0
dolnoœl¹skie;1860973;30625;637900;19084;t02
kujawsko-pomorskie;1177792;22809;390518;13294;t04
lubelskie;1110111;18187;407174;12775;t06
lubuskie;625717;11946;216534;8110;t08
³ódzkie;1503054;26187;519258;16346;t10
ma³opolskie;1856694;30054;632260;16280;t12
mazowieckie;3519464;57167;1199985;30003;t14
opolskie;567904;9128;196671;5920;t16
podkarpackie;1083279;15718;414208;12237;t18
podlaskie;711364;9509;267059;7166;t20
pomorskie;1501195;28338;531317;19742;t22
œl¹skie;2740134;45385;938184;27605;t24
œwiêtokrzyskie;639046;11000;217296;7149;t26
warmiñsko-mazurskie;751971;14595;263721;9304;t28
wielkopolskie;2013119;37679;684786;20137;t30
zachodniopomorskie;1074626;15985;374301;10201;t32
ca³y kraj;22737088;384312;7891305;235353;t00
