wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25822;3162;2262;123;
dolnośląskie;963718;28779;247056;8679;t02
kujawsko-pomorskie;576305;18943;139960;5680;t04
lubelskie;620905;19699;170093;5915;t06
lubuskie;300819;9761;75204;3158;t08
łódzkie;748954;24265;191470;7019;t10
małopolskie;934022;29347;232995;9365;t12
mazowieckie;1764104;51410;442578;15630;t14
opolskie;281367;10706;74169;2680;t16
podkarpackie;582106;17837;152615;5065;t18
podlaskie;375207;12150;99956;3271;t20
pomorskie;748486;28606;191233;5926;t22
śląskie;1303380;46813;306345;12723;t24
świętokrzyskie;325644;11047;81025;2901;t26
warmińsko-mazurskie;401982;13145;102524;3912;t28
wielkopolskie;995001;31825;243244;9095;t30
zachodniopomorskie;522978;17453;120196;3938;t32
cały kraj;11470800;374948;2872925;105080;t00
