wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2325739;4089;965959;2867;t02
kujawsko-pomorskie;1495021;3183;593774;2059;t04
lubelskie;1342372;1203;571968;834;t06
lubuskie;786558;2059;333160;1589;t08
³ódzkie;1882204;3294;782847;1938;t10
ma³opolskie;2355186;4429;941627;2850;t12
mazowieckie;4422589;15124;1799127;11546;t14
opolskie;714358;486;313019;246;t16
podkarpackie;1293046;2065;579244;1456;t18
podlaskie;864449;716;385847;444;t20
pomorskie;1883391;1736;795925;1010;t22
œl¹skie;3441055;6534;1416853;4480;t24
œwiêtokrzyskie;803124;1313;329600;872;t26
warmiñsko-mazurskie;943670;1520;386434;964;t28
wielkopolskie;2571635;8379;1019700;5741;t30
zachodniopomorskie;1322982;2284;550596;1789;t32
ca³y kraj;28447379;58414;11765680;40685;t00
