wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;1931252;35282;680851;21078;t02
kujawsko-pomorskie;1229089;24878;421705;14660;t04
lubelskie;1150732;21692;434904;14601;t06
lubuskie;650844;12193;233315;7600;t08
³ódzkie;1562481;31399;557716;19004;t10
ma³opolskie;1934729;39913;674010;22469;t12
mazowieckie;3644578;66153;1272901;36773;t14
opolskie;590034;11434;213792;8937;t16
podkarpackie;1117950;16868;440991;12731;t18
podlaskie;738293;12569;288671;9843;t20
pomorskie;1566437;34497;576875;23516;t22
œl¹skie;2854963;58150;1013443;37917;t24
œwiêtokrzyskie;664521;13522;233149;8109;t26
warmiñsko-mazurskie;784066;17375;283657;10345;t28
wielkopolskie;2093920;44967;732427;25243;t30
zachodniopomorskie;1114561;19150;401296;12739;t32
ca³y kraj;23628450;460042;8459703;285565;t00
