wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2700235;12975;1247542;9847;t02
kujawsko-pomorskie;1788905;11998;818380;9603;t04
lubelskie;1536435;8443;712400;6025;t06
lubuskie;910031;4092;423702;2807;t08
³ódzkie;2192471;12252;1017099;9313;t10
ma³opolskie;2819393;16406;1293122;12214;t12
mazowieckie;5220550;27905;2413686;21522;t14
opolskie;801376;2925;376298;2019;t16
podkarpackie;1432139;5872;669902;3594;t18
podlaskie;960456;3049;452021;2087;t20
pomorskie;2181308;12245;1013483;9635;t22
œl¹skie;4018826;19858;1857582;14967;t24
œwiêtokrzyskie;943575;6166;431302;4817;t26
warmiñsko-mazurskie;1123261;7598;519190;5638;t28
wielkopolskie;3119791;22611;1437221;18233;t30
zachodniopomorskie;1532169;8587;703388;6465;t32
ca³y kraj;33280946;182982;15386318;138786;t00
