wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;18;0;6;0;t0;7;0;0;0;5;0
dolnoœl¹skie;4342261;851;1558451;50;t02;1799685;42;16779;2;967346;757
kujawsko-pomorskie;2934828;444;1053176;25;t04;1220007;23;12024;1;649621;395
lubelskie;2491654;380;916030;28;t06;1054823;38;13492;3;507309;311
lubuskie;1511185;285;539357;21;t08;645275;30;5393;0;321160;234
³ódzkie;3533977;670;1291702;65;t10;1466199;61;18794;1;757282;543
ma³opolskie;4533067;964;1661998;59;t12;1900001;42;14200;13;956868;850
mazowieckie;8612176;2272;3107297;256;t14;3557827;200;40770;18;1906282;1798
opolskie;1264553;185;464633;14;t16;530009;9;5035;0;264876;162
podkarpackie;2217819;358;834551;33;t18;969621;36;8438;10;405209;279
podlaskie;1516042;216;564927;21;t20;651072;33;6099;3;293944;159
pomorskie;3602251;791;1300192;99;t22;1492256;58;14995;15;794808;619
œl¹skie;6402643;1611;2310177;130;t24;2657602;97;20591;25;1414273;1359
œwiêtokrzyskie;1536606;163;561392;14;t26;650180;23;6245;0;318789;126
warmiñsko-mazurskie;1886040;264;684092;38;t28;786107;24;10526;0;405315;202
wielkopolskie;5290739;778;1920267;58;t30;2205019;51;20503;28;1144950;641
zachodniopomorskie;2523884;489;898672;38;t32;1059603;24;10621;1;554988;426
ca³y kraj;54199743;10721;19666920;949;t00;22645293;791;224505;120;11663025;8861
