wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;8;0;2;0;t0
dolnoœl¹skie;3267124;9904;1429035;617;t02
kujawsko-pomorskie;2194327;7182;960652;368;t04
lubelskie;1921610;7030;833276;650;t06
lubuskie;1132021;4733;489173;288;t08
³ódzkie;2675871;7713;1184423;419;t10
ma³opolskie;3439925;9351;1522928;499;t12
mazowieckie;6432854;22826;2821729;1251;t14
opolskie;953537;3486;423217;192;t16
podkarpackie;1752244;5848;769014;337;t18
podlaskie;1177967;3519;515991;286;t20
pomorskie;2691270;8232;1182733;435;t22
œl¹skie;4829948;16519;2129364;765;t24
œwiêtokrzyskie;1169256;3201;515381;149;t26
warmiñsko-mazurskie;1406242;4202;617327;303;t28
wielkopolskie;3886602;11159;1732389;714;t30
zachodniopomorskie;1896885;7062;822494;336;t32
ca³y kraj;40827691;131967;17949128;7609;t00
