wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;7332;42;1225;0;
dolnośląskie;560264;2168;177451;109;t02
kujawsko-pomorskie;329222;1519;99936;130;t04
lubelskie;380284;730;121712;77;t06
lubuskie;171282;986;50222;108;t08
łódzkie;437669;2269;141636;122;t10
małopolskie;539458;1897;167061;36;t12
mazowieckie;1038635;7376;321884;422;t14
opolskie;166925;482;52375;39;t16
podkarpackie;355737;3042;108782;19;t18
podlaskie;225804;605;71360;341;t20
pomorskie;437059;1740;141276;444;t22
śląskie;714893;2960;221904;649;t24
świętokrzyskie;190299;481;58692;0;t26
warmińsko-mazurskie;242175;518;72645;45;t28
wielkopolskie;570676;2878;176456;34;t30
zachodniopomorskie;285721;2012;88303;62;t32
cały kraj;6653435;31705;2072920;2637;t00
