wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;7;0;1;0;t0;1;0;0;0;5;0
dolnoœl¹skie;4346413;0;1558803;0;t02;1799975;0;16763;0;970872;0
kujawsko-pomorskie;2936968;0;1053393;0;t04;1220124;0;11993;0;651458;0
lubelskie;2493137;0;916210;0;t06;1054963;0;13509;0;508455;0
lubuskie;1512399;0;539502;0;t08;645377;0;5395;0;322125;0
³ódzkie;3536824;4;1291967;0;t10;1466423;0;18799;0;759635;4
ma³opolskie;4537660;63;1662406;2;t12;1900365;3;14051;0;960838;58
mazowieckie;8620969;75;3108148;0;t14;3558851;21;40865;0;1913105;54
opolskie;1265589;1;464774;0;t16;530109;0;5034;0;265672;1
podkarpackie;2219121;0;834732;0;t18;969794;0;8449;0;406146;0
podlaskie;1516941;0;565027;0;t20;651170;0;6097;0;294647;0
pomorskie;3605580;7;1300529;0;t22;1492522;0;15017;0;797512;7
œl¹skie;6409363;11;2310802;3;t24;2658059;0;20551;0;1419951;8
œwiêtokrzyskie;1537468;3;561491;0;t26;650284;0;6245;0;319448;3
warmiñsko-mazurskie;1887319;0;684212;0;t28;786211;0;10521;0;406375;0
wielkopolskie;5318410;40;1920712;0;t30;2228611;39;20563;0;1148524;1
zachodniopomorskie;2525949;0;898882;0;t32;1059765;0;10587;0;556715;0
ca³y kraj;54270117;204;19671591;5;t00;22672604;63;224439;0;11701483;136
