wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2906155;2657;1359062;1080;t02
kujawsko-pomorskie;1953112;2630;909182;922;t04
lubelskie;1665677;1056;777818;568;t06
lubuskie;991476;1559;462144;533;t08
³ódzkie;2380712;2397;1120616;986;t10
ma³opolskie;3080688;4446;1441147;2302;t12
mazowieckie;5651836;5774;2654100;2854;t14
opolskie;855540;1020;403682;424;t16
podkarpackie;1551477;1693;725288;657;t18
podlaskie;1032386;546;485713;148;t20
pomorskie;2377076;3471;1118202;1372;t22
œl¹skie;4328693;3985;2025367;1626;t24
œwiêtokrzyskie;1039763;1437;483640;672;t26
warmiñsko-mazurskie;1236859;1211;577795;576;t28
wielkopolskie;3449656;5095;1631535;2461;t30
zachodniopomorskie;1670278;1894;776833;834;t32
ca³y kraj;36171384;40871;16952124;18015;t00
