wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;boles³awiecki;71920;182;32573;124;t0201
dolnoœl¹skie;dzier¿oniowski;67067;122;31630;43;t0202
dolnoœl¹skie;g³ogowski;63413;153;28892;80;t0203
dolnoœl¹skie;górowski;26474;23;12050;6;t0204
dolnoœl¹skie;jaworski;38608;84;17486;47;t0205
dolnoœl¹skie;jeleniogórski;50480;155;23550;68;t0206
dolnoœl¹skie;kamiennogórski;31053;200;14654;156;t0207
dolnoœl¹skie;k³odzki;126577;205;59437;102;t0208
dolnoœl¹skie;legnicki;43720;61;19521;25;t0209
dolnoœl¹skie;lubañski;29495;24;12495;24;t0210
dolnoœl¹skie;lubiñski;123390;250;59146;118;t0211
dolnoœl¹skie;lwówecki;41034;77;19036;39;t0212
dolnoœl¹skie;milicki;33837;105;15956;77;t0213
dolnoœl¹skie;oleœnicki;95575;295;43447;169;t0214
dolnoœl¹skie;o³awski;44988;52;21515;45;t0215
dolnoœl¹skie;polkowicki;41151;107;18024;49;t0216
dolnoœl¹skie;strzeliñski;36611;68;17169;47;t0217
dolnoœl¹skie;œredzki;21641;20;10266;13;t0218
dolnoœl¹skie;œwidnicki;99688;170;45945;116;t0219
dolnoœl¹skie;trzebnicki;58733;55;28173;55;t0220
dolnoœl¹skie;wa³brzyski;31034;60;14763;40;t0221
dolnoœl¹skie;wo³owski;41757;45;18637;19;t0222
dolnoœl¹skie;wroc³awski;102010;28;48597;8;t0223
dolnoœl¹skie;z¹bkowicki;54447;117;25638;79;t0224
dolnoœl¹skie;zgorzelecki;58131;148;26441;50;t0225
dolnoœl¹skie;z³otoryjski;34179;53;15374;41;t0226
dolnoœl¹skie;Jelenia Góra;88654;92;42654;37;t0261
dolnoœl¹skie;Legnica;88445;198;41752;93;t0262
dolnoœl¹skie;Wroc³aw;1039902;959;489912;590;t0264
dolnoœl¹skie;Wa³brzych;208976;58;97870;0;t0265
kujawsko-pomorskie;aleksandrowski;131709;43;62713;26;t0401
kujawsko-pomorskie;brodnicki;70776;129;33148;30;t0402
kujawsko-pomorskie;bydgoski;76163;214;36047;147;t0403
kujawsko-pomorskie;che³miñski;41307;58;19335;0;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;35119;45;16323;7;t0405
kujawsko-pomorskie;grudzi¹dzki;25833;44;11660;22;t0406
kujawsko-pomorskie;inowroc³awski;103574;60;49199;13;t0407
kujawsko-pomorskie;lipnowski;52425;122;24045;58;t0408
kujawsko-pomorskie;mogileñski;31517;28;14825;20;t0409
