data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2176;0
2020-12-28;4387;0
2020-12-29;10024;0
2020-12-30;20345;0
2020-12-31;10603;0
2021-01-01;1354;2
2021-01-02;2240;0
2021-01-03;648;0
2021-01-04;40640;1
2021-01-05;55415;2
2021-01-06;18767;0
2021-01-07;30381;0
2021-01-08;11836;1
2021-01-09;2262;0
2021-01-10;994;2
2021-01-11;47660;3
2021-01-12;63484;0
2021-01-13;55161;1
2021-01-14;46581;1
2021-01-15;26269;0
2021-01-16;20958;17
2021-01-17;12091;433
2021-01-18;28397;2937
2021-01-19;49516;8110
2021-01-20;51152;14452
2021-01-21;53083;14763
2021-01-22;38242;5255
2021-01-23;16854;1362
2021-01-24;5366;556
2021-01-25;73235;29482
2021-01-26;132911;48316
2021-01-27;104739;26547
2021-01-28;89571;29452
2021-01-29;43733;16112
2021-01-30;16278;3118
2021-01-31;8696;1389
2021-02-01;57126;33335
2021-02-02;114780;57428
2021-02-03;121916;56002
2021-02-04;107380;51594
2021-02-05;52045;29625
2021-02-06;24650;15693
2021-02-07;16394;10177
2021-02-08;33121;11746
2021-02-09;89927;20172
2021-02-10;113363;44868
2021-02-11;111700;58788
2021-02-12;75785;43692
2021-02-13;35627;15245
2021-02-14;14712;4868
2021-02-15;36288;11722
2021-02-16;71744;33816
2021-02-17;154692;85375
2021-02-18;174504;94551
2021-02-19;103296;50299
2021-02-20;36043;7710
2021-02-21;16069;3612
2021-02-22;43460;4119
2021-02-23;71970;20543
2021-02-24;160997;77040
2021-02-25;175043;90685
2021-02-26;103735;45666
2021-02-27;44817;11916
2021-02-28;18066;5824
2021-03-01;46182;5412
2021-03-02;82469;21790
2021-03-03;156917;68025
2021-03-04;174060;85898
2021-03-05;108797;44674
2021-03-06;49865;12079
2021-03-07;18000;5390
2021-03-08;34595;3682
2021-03-09;63944;8425
2021-03-10;143494;43042
2021-03-11;162990;68380
2021-03-12;95114;39556
2021-03-13;29985;6730
2021-03-14;11881;3040
2021-03-15;25818;3565
2021-03-16;47926;10729
2021-03-17;134065;43873
2021-03-18;155386;66661
2021-03-19;89423;38920
2021-03-20;29770;10279
2021-03-21;10658;3078
2021-03-22;51956;3974
2021-03-23;118045;19934
2021-03-24;192163;50146
2021-03-25;216506;71742
2021-03-26;162313;40683
2021-03-27;92221;15015
2021-03-28;35742;6923
2021-03-29;80150;9877
2021-03-30;117663;16090
2021-03-31;190991;20708
2021-04-01;205354;19490
2021-04-02;153060;11298
2021-04-03;36402;2755
2021-04-04;3341;351
2021-04-05;3884;527
2021-04-06;126213;8133
2021-04-07;220675;7354
2021-04-08;258656;5841
2021-04-09;220774;4702
2021-04-10;154612;4176
2021-04-11;44776;786
2021-04-12;106505;7024
2021-04-13;186929;23350
2021-04-14;254880;53868
2021-04-15;268133;59301
2021-04-16;201516;28320
2021-04-17;140840;11959
2021-04-18;39813;4035
2021-04-19;109520;13056
2021-04-20;203225;34291
2021-04-21;283205;74520
2021-04-22;306519;79475
2021-04-23;260222;46794
2021-04-24;206164;24508
2021-04-25;56074;9278
2021-04-26;139730;30847
2021-04-27;254066;58755
2021-04-28;345430;99431
2021-04-29;388248;108956
2021-04-30;358034;75039
2021-05-01;121984;15583
2021-05-02;59475;10173
