wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;4;0;0;0;t00
dolnoœl¹skie;boles³awiecki;73573;90;33292;63;t0201
dolnoœl¹skie;dzier¿oniowski;69198;117;32478;28;t0202
dolnoœl¹skie;g³ogowski;65091;115;29717;70;t0203
dolnoœl¹skie;górowski;26850;27;12187;2;t0204
dolnoœl¹skie;jaworski;39384;31;17842;14;t0205
dolnoœl¹skie;jeleniogórski;51504;13;23890;4;t0206
dolnoœl¹skie;kamiennogórski;31912;10;15027;6;t0207
dolnoœl¹skie;k³odzki;129371;153;60713;76;t0208
dolnoœl¹skie;legnicki;44345;0;19805;0;t0209
dolnoœl¹skie;lubañski;30210;30;12795;10;t0210
dolnoœl¹skie;lubiñski;125306;106;60051;63;t0211
dolnoœl¹skie;lwówecki;42099;24;19578;21;t0212
dolnoœl¹skie;milicki;34586;0;16353;0;t0213
dolnoœl¹skie;oleœnicki;99279;104;45471;32;t0214
dolnoœl¹skie;o³awski;45820;35;21605;0;t0215
dolnoœl¹skie;polkowicki;41845;21;18346;11;t0216
dolnoœl¹skie;strzeliñski;37397;28;17480;17;t0217
dolnoœl¹skie;œredzki;22113;6;10480;2;t0218
dolnoœl¹skie;œwidnicki;102771;114;47290;51;t0219
dolnoœl¹skie;trzebnicki;59949;29;28911;2;t0220
dolnoœl¹skie;wa³brzyski;31474;12;15010;6;t0221
dolnoœl¹skie;wo³owski;42761;15;19110;5;t0222
dolnoœl¹skie;wroc³awski;103855;41;49514;13;t0223
dolnoœl¹skie;z¹bkowicki;55836;36;26209;30;t0224
dolnoœl¹skie;zgorzelecki;60139;68;27335;1;t0225
dolnoœl¹skie;z³otoryjski;35084;12;15741;5;t0226
dolnoœl¹skie;Jelenia Góra;90691;57;43721;22;t0261
dolnoœl¹skie;Legnica;90546;74;42700;40;t0262
dolnoœl¹skie;Wroc³aw;1056572;404;497014;198;t0264
dolnoœl¹skie;Wa³brzych;211876;98;98956;34;t0265
kujawsko-pomorskie;aleksandrowski;133038;52;63330;26;t0401
kujawsko-pomorskie;brodnicki;72657;92;34166;58;t0402
kujawsko-pomorskie;bydgoski;77465;23;36764;14;t0403
kujawsko-pomorskie;che³miñski;42148;55;19851;19;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;36058;10;16784;1;t0405
kujawsko-pomorskie;grudzi¹dzki;26579;23;12033;22;t0406
kujawsko-pomorskie;inowroc³awski;105330;60;50136;33;t0407
kujawsko-pomorskie;lipnowski;53721;27;24724;12;t0408
kujawsko-pomorskie;mogileñski;33072;44;15416;26;t0409
kujawsko-pomorskie;nakielski;85451;56;38440;41;t0410
kujawsko-pomorskie;radziejowski;44735;0;21004;0;t0411
kujawsko-pomorskie;rypiñski;36128;92;17048;32;t0412
kujawsko-pomorskie;sêpoleñski;48941;37;22595;19;t0413
kujawsko-pomorskie;œwiecki;78959;109;36300;32;t0414
kujawsko-pomorskie;toruñski;72559;61;31885;31;t0415
kujawsko-pomorskie;tucholski;39596;10;18183;3;t0416
kujawsko-pomorskie;w¹brzeski;28495;37;12952;0;t0417
kujawsko-pomorskie;w³oc³awski;65690;40;31363;29;t0418
kujawsko-pomorskie;¿niñski;53228;42;25306;8;t0419
kujawsko-pomorskie;Bydgoszcz;437490;274;204752;115;t0461
kujawsko-pomorskie;Grudzi¹dz;124774;59;57775;21;t0462
kujawsko-pomorskie;Toruñ;194816;140;90461;59;t0463
kujawsko-pomorskie;W³oc³awek;95197;71;43123;34;t0464
lubelskie;bialski;62136;50;28519;21;t0601
lubelskie;bi³gorajski;54677;70;26049;15;t0602
lubelskie;che³mski;36529;20;17267;6;t0603
lubelskie;hrubieszowski;45396;49;20882;23;t0604
lubelskie;janowski;31296;71;14605;46;t0605
lubelskie;krasnostawski;41577;50;19204;22;t0606
lubelskie;kraœnicki;67339;78;31893;46;t0607
lubelskie;lubartowski;55690;50;26136;35;t0608
lubelskie;lubelski;85088;27;38950;11;t0609
lubelskie;³êczyñski;40562;15;19458;1;t0610
lubelskie;³ukowski;57007;76;26758;18;t0611
lubelskie;opolski;45596;53;21064;20;t0612
lubelskie;parczewski;28367;0;13166;0;t0613
lubelskie;pu³awski;98996;107;47262;34;t0614
lubelskie;radzyñski;31001;64;14760;34;t0615
lubelskie;rycki;54133;75;25959;41;t0616
lubelskie;œwidnicki;46545;44;22320;34;t0617
lubelskie;tomaszowski;56552;51;26233;8;t0618
lubelskie;w³odawski;35334;29;16492;0;t0619
lubelskie;zamojski;49078;58;23810;35;t0620
lubelskie;Bia³a Podlaska;70856;69;33484;34;t0661
lubelskie;Che³m;64022;4;29306;0;t0662
lubelskie;Lublin;447993;339;205858;157;t0663
lubelskie;Zamoœæ;90427;117;42644;63;t0664
lubuskie;gorzowski;29594;25;13819;12;t0801
lubuskie;kroœnieñski;51488;62;24332;20;t0802
lubuskie;miêdzyrzecki;67515;7;31544;7;t0803
lubuskie;nowosolski;92684;17;41617;7;t0804
lubuskie;s³ubicki;38778;35;18537;10;t0805
lubuskie;strzelecko-drezdenecki;51169;28;22997;15;t0806
lubuskie;sulêciñski;31195;36;14205;16;t0807
lubuskie;œwiebodziñski;55632;29;25813;29;t0808
lubuskie;zielonogórski;89604;56;41732;39;t0809
lubuskie;¿agañski;69098;38;31586;23;t0810
lubuskie;¿arski;100663;82;47366;22;t0811
lubuskie;wschowski;27576;0;13222;0;t0812
lubuskie;Gorzów Wielkopolski;153171;299;70413;104;t0861
lubuskie;Zielona Góra;152296;305;72730;149;t0862
³ódzkie;be³chatowski;74572;28;34196;0;t1001
³ódzkie;kutnowski;89575;50;43507;31;t1002
³ódzkie;³aski;36468;0;17474;0;t1003
³ódzkie;³êczycki;51980;39;23991;30;t1004
³ódzkie;³owicki;90843;32;43437;22;t1005
³ódzkie;³ódzki wschodni;37479;41;16895;27;t1006
³ódzkie;opoczyñski;60357;22;27314;11;t1007
³ódzkie;pabianicki;108986;93;51643;55;t1008
³ódzkie;pajêczañski;30111;30;13703;29;t1009
³ódzkie;piotrkowski;50705;34;23580;17;t1010
³ódzkie;poddêbicki;37490;20;17791;8;t1011
³ódzkie;radomszczañski;89514;5;42298;2;t1012
³ódzkie;rawski;29133;27;13296;23;t1013
³ódzkie;sieradzki;101099;73;46266;34;t1014
³ódzkie;skierniewicki;24281;0;11470;0;t1015
³ódzkie;tomaszowski;106527;100;50528;85;t1016
³ódzkie;wieluñski;88342;11;42146;6;t1017
³ódzkie;wieruszowski;33312;0;15153;0;t1018
³ódzkie;zduñskowolski;50276;5;23371;4;t1019
³ódzkie;zgierski;130845;80;61622;24;t1020
³ódzkie;brzeziñski;35037;40;16739;13;t1021
³ódzkie;£ódŸ;908682;591;430019;206;t1061
³ódzkie;Piotrków Trybunalski;82496;111;38625;67;t1062
³ódzkie;Skierniewice;73108;42;34540;12;t1063
ma³opolskie;bocheñski;78804;82;35439;47;t1201
ma³opolskie;brzeski;67272;56;31275;38;t1202
ma³opolskie;chrzanowski;111540;99;51503;41;t1203
ma³opolskie;d¹browski;42511;9;19940;1;t1204
ma³opolskie;gorlicki;86252;80;40885;40;t1205
ma³opolskie;krakowski;159846;129;74966;89;t1206
ma³opolskie;limanowski;89120;6;40983;5;t1207
ma³opolskie;miechowski;60899;24;29278;17;t1208
ma³opolskie;myœlenicki;103738;106;48851;39;t1209
ma³opolskie;nowos¹decki;131201;166;58889;81;t1210
ma³opolskie;nowotarski;131358;81;59921;45;t1211
ma³opolskie;olkuski;110098;7;51180;6;t1212
ma³opolskie;oœwiêcimski;121488;90;57397;37;t1213
ma³opolskie;proszowicki;43832;0;20897;0;t1214
ma³opolskie;suski;69007;43;32781;9;t1215
ma³opolskie;tarnowski;95594;109;44499;75;t1216
ma³opolskie;tatrzañski;35456;50;16833;22;t1217
ma³opolskie;wadowicki;119817;59;53849;22;t1218
ma³opolskie;wielicki;110779;56;50337;35;t1219
ma³opolskie;Kraków;1185279;699;563420;315;t1261
ma³opolskie;Nowy S¹cz;63879;35;30302;35;t1262
ma³opolskie;Tarnów;113754;103;52366;61;t1263
mazowieckie;bia³obrzeski;35732;41;17029;24;t1401
mazowieckie;ciechanowski;80199;38;38175;11;t1402
mazowieckie;garwoliñski;82953;37;39739;9;t1403
mazowieckie;gostyniñski;28261;0;13656;0;t1404
mazowieckie;grodziski;95550;108;44031;39;t1405
mazowieckie;grójecki;105595;183;49877;30;t1406
mazowieckie;kozienicki;44047;31;21060;18;t1407
mazowieckie;legionowski;76293;125;33548;40;t1408
mazowieckie;lipski;26496;1;12610;1;t1409
mazowieckie;³osicki;18555;7;8964;2;t1410
mazowieckie;makowski;41290;73;19208;52;t1411
mazowieckie;miñski;129259;73;58189;48;t1412
mazowieckie;m³awski;60850;71;28939;50;t1413
mazowieckie;nowodworski;112028;137;52229;32;t1414
mazowieckie;ostro³êcki;49819;74;23424;61;t1415
