wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2726845;10843;1265328;7093;t02
kujawsko-pomorskie;1809995;8156;833516;5652;t04
lubelskie;1552236;6482;722481;4100;t06
lubuskie;918292;3614;428602;2152;t08
³ódzkie;2218358;10725;1034170;7138;t10
ma³opolskie;2852276;15064;1316560;10584;t12
mazowieckie;5272399;19718;2448854;13138;t14
opolskie;807370;2497;380185;1527;t16
podkarpackie;1443383;4719;675758;2346;t18
podlaskie;967495;2844;455909;1567;t20
pomorskie;2206809;11365;1031496;7753;t22
œl¹skie;4059139;17472;1884867;11444;t24
œwiêtokrzyskie;955757;5514;439311;3642;t26
warmiñsko-mazurskie;1136602;5202;528119;3466;t28
wielkopolskie;3165489;17949;1469484;12530;t30
zachodniopomorskie;1549070;6741;714819;4500;t32
ca³y kraj;33641540;148905;15629459;98632;t00
