wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;105;40;15;3;t0
dolnoœl¹skie;1485942;12563;430869;6910;t02
kujawsko-pomorskie;919840;8407;253635;4757;t04
lubelskie;914810;6347;287621;4004;t06
lubuskie;501540;2718;144978;1373;t08
³ódzkie;1200297;6645;344327;3469;t10
ma³opolskie;1465785;11983;428908;5624;t12
mazowieckie;2768078;19690;824996;10747;t14
opolskie;456413;2299;121353;1553;t16
podkarpackie;899035;4784;285303;2864;t18
podlaskie;585405;4119;178765;3006;t20
pomorskie;1202186;7957;342323;4515;t22
œl¹skie;2146717;14541;617084;9429;t24
œwiêtokrzyskie;508141;3389;141670;1922;t26
warmiñsko-mazurskie;603771;4693;177094;2468;t28
wielkopolskie;1574826;11606;453494;6052;t30
zachodniopomorskie;852920;9003;238646;5023;t32
ca³y kraj;18085811;130784;5271081;73719;t00
