wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;15;0;1;0;t0;7;0;0;0;7;0
dolnoœl¹skie;4182961;5562;1520143;1405;t02;1782308;625;15959;17;864551;3515
kujawsko-pomorskie;2835778;3965;1027632;1067;t04;1209664;478;11528;7;586954;2413
lubelskie;2420061;2517;897686;592;t06;1046226;343;12944;2;463205;1580
lubuskie;1460379;1531;526042;270;t08;639295;177;5094;0;289948;1084
³ódzkie;3421077;3675;1262025;944;t10;1453511;510;17890;31;687651;2190
ma³opolskie;4362416;5330;1625391;1235;t12;1883855;577;13140;10;840030;3508
mazowieckie;8304368;9317;3032777;2362;t14;3520075;1115;38574;52;1712942;5788
opolskie;1222294;1161;453319;258;t16;525026;150;4678;1;239271;752
podkarpackie;2158777;1694;819768;453;t18;962189;197;7889;15;368931;1029
podlaskie;1473845;1143;553867;338;t20;645242;189;5665;17;269071;599
pomorskie;3464765;4880;1266383;1087;t22;1476473;569;14209;14;707700;3210
œl¹skie;6179329;7135;2259098;1730;t24;2634224;813;19381;33;1266626;4559
œwiêtokrzyskie;1488282;1611;549009;380;t26;644585;163;6078;7;288610;1061
warmiñsko-mazurskie;1813019;2833;665245;697;t28;777345;395;9899;8;360530;1733
wielkopolskie;5054293;6547;1869548;1439;t30;2149220;628;19390;12;1016135;4468
zachodniopomorskie;2438679;3122;877882;649;t32;1049850;355;10285;5;500662;2113
ca³y kraj;52280338;62023;19205816;14906;t00;22399095;7284;212603;231;10462824;39602
