wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2736211;1928;1271259;1224;t02
kujawsko-pomorskie;1817975;2032;838858;1124;t04
lubelskie;1555392;697;724151;215;t06
lubuskie;921513;506;430242;129;t08
³ódzkie;2226184;1876;1038797;876;t10
ma³opolskie;2868205;4045;1325852;1558;t12
mazowieckie;5292182;4731;2460822;2608;t14
opolskie;809125;406;381134;177;t16
podkarpackie;1446679;462;676991;119;t18
podlaskie;968705;97;456417;29;t20
pomorskie;2215539;1772;1036158;700;t22
œl¹skie;4075048;2991;1894478;1419;t24
œwiêtokrzyskie;959532;959;441527;389;t26
warmiñsko-mazurskie;1140745;1092;530196;553;t28
wielkopolskie;3182608;3534;1481165;2228;t30
zachodniopomorskie;1554479;596;718078;280;t32
ca³y kraj;33770147;27724;15706125;13628;t00
