wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2667464;2381;1224722;1604;t02
kujawsko-pomorskie;1763451;2395;800301;1454;t04
lubelskie;1517213;1228;700100;618;t06
lubuskie;898910;1269;416971;630;t08
³ódzkie;2164669;2002;997650;1253;t10
ma³opolskie;2777412;6052;1263596;3279;t12
mazowieckie;5150621;8210;2363401;6157;t14
opolskie;793813;370;371524;213;t16
podkarpackie;1417765;600;662181;80;t18
podlaskie;951220;160;446633;60;t20
pomorskie;2151947;1941;992800;1145;t22
œl¹skie;3970392;4504;1823498;2829;t24
œwiêtokrzyskie;930298;1199;422165;561;t26
warmiñsko-mazurskie;1104869;904;506198;623;t28
wielkopolskie;3064013;5394;1394551;4153;t30
zachodniopomorskie;1511169;1481;688706;627;t32
ca³y kraj;32835251;40090;15074997;25286;t00
