data;liczba_szczepien_dziennie;dawka_2_dziennie
2020-12-27;2176;0
2020-12-28;4387;0
2020-12-29;10028;0
2020-12-30;20347;0
2020-12-31;10609;0
2021-01-01;1352;0
2021-01-02;2240;0
2021-01-03;648;0
2021-01-04;40652;1
2021-01-05;55420;0
2021-01-06;18768;0
2021-01-07;30386;0
2021-01-08;11834;0
2021-01-09;2262;0
2021-01-10;992;0
2021-01-11;47679;3
2021-01-12;63489;0
2021-01-13;55168;0
2021-01-14;46587;1
2021-01-15;26272;0
2021-01-16;20964;17
2021-01-17;12091;432
2021-01-18;28399;2935
2021-01-19;49530;8103
2021-01-20;51156;14441
2021-01-21;53080;14751
2021-01-22;38230;5239
2021-01-23;16861;1360
2021-01-24;5366;556
2021-01-25;73233;29464
2021-01-26;132932;48294
2021-01-27;104787;26533
2021-01-28;89567;29428
2021-01-29;43749;16092
2021-01-30;16278;3113
2021-01-31;8697;1389
2021-02-01;57110;33310
2021-02-02;114702;57364
2021-02-03;121898;55967
2021-02-04;107327;51519
2021-02-05;52045;29599
2021-02-06;24647;15684
2021-02-07;16373;10150
2021-02-08;33129;11743
2021-02-09;89943;20172
2021-02-10;113364;44846
2021-02-11;111681;58750
2021-02-12;75761;43652
2021-02-13;35626;15237
2021-02-14;14712;4868
2021-02-15;36282;11712
2021-02-16;71758;33815
2021-02-17;154672;85321
2021-02-18;174397;94426
2021-02-19;103288;50254
2021-02-20;36042;7706
2021-02-21;16069;3612
2021-02-22;43471;4116
2021-02-23;72012;20537
2021-02-24;160965;76982
2021-02-25;175045;90587
2021-02-26;103704;45592
2021-02-27;44859;11916
2021-02-28;18066;5822
2021-03-01;46181;5408
2021-03-02;82457;21762
2021-03-03;156892;67979
2021-03-04;174003;85811
2021-03-05;108738;44591
2021-03-06;49866;12074
2021-03-07;17998;5388
2021-03-08;34599;3682
2021-03-09;63945;8417
2021-03-10;143517;43010
2021-03-11;162982;68314
2021-03-12;95116;39518
2021-03-13;29987;6726
2021-03-14;11879;3037
2021-03-15;25820;3561
2021-03-16;47930;10727
2021-03-17;134066;43820
2021-03-18;155408;66611
2021-03-19;89475;38890
2021-03-20;29781;10274
2021-03-21;10658;3077
2021-03-22;51961;3971
2021-03-23;118077;19931
2021-03-24;192159;50097
2021-03-25;216570;71690
2021-03-26;162364;40637
2021-03-27;92222;15008
2021-03-28;35745;6922
2021-03-29;80152;9872
2021-03-30;117668;16076
2021-03-31;191001;20688
2021-04-01;205362;19462
2021-04-02;153044;11270
2021-04-03;36403;2752
2021-04-04;3341;351
2021-04-05;3883;526
2021-04-06;126214;8129
2021-04-07;220707;7347
2021-04-08;258678;5832
2021-04-09;220788;4696
2021-04-10;154624;4172
2021-04-11;44781;786
2021-04-12;106511;7018
2021-04-13;186944;23338
2021-04-14;254902;53829
2021-04-15;268145;59262
2021-04-16;201456;28238
2021-04-17;140843;11953
2021-04-18;39812;4035
2021-04-19;109533;13061
2021-04-20;203216;34247
2021-04-21;283208;74459
2021-04-22;306519;79409
2021-04-23;260226;46760
2021-04-24;206160;24487
2021-04-25;56073;9271
2021-04-26;139731;30838
2021-04-27;254058;58719
2021-04-28;345452;99379
2021-04-29;388267;108902
2021-04-30;358045;75004
2021-05-01;121980;15575
2021-05-02;59486;10173
